EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,OMNI_LAT_deg,OMNI_LONG_deg,OMNI_MAG_AVG_nT,OMNI_SPEED_kms,OMNI_DENSITY_Ncc,EPOCH_TIME__yyyy-mm-ddThh:mm:ss.sssZ,ARTEMIS_MAG_AVG_nt,ARTEMIS_DENSITY_Ncc,ARTEMIS_SPEED_kms,ARTEMIS_DIST_AU,ARTEMIS_LAT_DEG,ARTEMIS_LONG_DEG,new_time,Time_offset_hours,LAT_DIFF_deg,LONG_DIFF_deg,SCALED_ARTEMIS_DENSITY,SCALED_ARTEMIS_MAG_AVG
2017-03-17 09:00:00+00:00,-7.1,99.9,2.6,347,6.7,2017-03-17 10:00:00+00:00,2.946,5.779,337.23,1,-7.1,100.8,2017-03-17 09:00:00+00:00,1,2.66E-15,0.9,5.779,2.946
2017-03-17 10:00:00+00:00,-7.1,99.9,2.7,348,6.6,2017-03-17 11:00:00+00:00,2.745,5.808846154,337.3576923,1,-7.1,100.8,2017-03-17 10:00:00+00:00,1,4.44E-15,0.9,5.808846154,2.745
2017-03-17 11:00:00+00:00,-7.1,100,2.7,345,6.6,2017-03-17 12:00:00+00:00,2.773076923,5.672307692,337.2423077,1,-7.1,100.8,2017-03-17 11:00:00+00:00,1,4.44E-15,0.8,5.672307692,2.773076923
2017-03-17 12:00:00+00:00,-7.1,100,2.6,345,6.5,2017-03-17 13:00:00+00:00,2.824814815,5.600740741,334.5555556,1,-7.1,100.8,2017-03-17 12:00:00+00:00,1,5.33E-15,0.8,5.600740741,2.824814815
2017-03-17 13:00:00+00:00,-7.1,100.1,2.9,344,6.6,2017-03-17 14:00:00+00:00,3.205769231,6.133461538,335.0076923,1,-7.1,100.8,2017-03-17 13:00:00+00:00,1,4.44E-15,0.7,6.133461538,3.205769231
2017-03-17 14:00:00+00:00,-7.1,100.1,3.1,343,6.8,2017-03-17 15:00:00+00:00,2.981578947,5.696315789,329.8,1,-7.1,100.8,2017-03-17 14:00:00+00:00,1,2.66E-15,0.7,5.696315789,2.981578947
2017-03-17 15:00:00+00:00,-7.1,100.2,3.1,336,6.8,2017-03-17 16:00:00+00:00,3.134285714,5.667142857,327.9,1,-7.1,100.8,2017-03-17 15:00:00+00:00,1,8.88E-16,0.6,5.667142857,3.134285714
2017-03-17 16:00:00+00:00,-7.1,100.2,3.2,334,6.5,2017-03-17 17:00:00+00:00,2.848333333,5.843333333,331.0666667,1,-7.1,100.8,2017-03-17 16:00:00+00:00,1,8.88E-16,0.6,5.843333333,2.848333333
2017-03-17 17:00:00+00:00,-7.1,100.2,3.1,333,6.3,2017-03-17 18:00:00+00:00,3,5.492857143,329.0428571,1,-7.1,100.8,2017-03-17 17:00:00+00:00,1,8.88E-16,0.6,5.492857143,3
2017-03-17 18:00:00+00:00,-7.1,100.3,3,333,6.5,2017-03-17 19:00:00+00:00,2.798333333,5.65625,320.6916667,1,-7.1,100.8,2017-03-17 18:00:00+00:00,1,2.66E-15,0.5,5.65625,2.798333333
2017-03-17 19:00:00+00:00,-7.1,100.3,2.8,332,7.7,2017-03-17 20:00:00+00:00,2.795769231,6.416923077,321.6192308,1,-7.1,100.8,2017-03-17 19:00:00+00:00,1,4.44E-15,0.5,6.416923077,2.795769231
2017-03-17 20:00:00+00:00,-7.1,100.4,2.9,337,7.6,2017-03-17 21:00:00+00:00,3.19,6.075,320,1,-7.1,100.8,2017-03-17 20:00:00+00:00,1,0,0.4,6.075,3.19
2017-03-18 01:00:00+00:00,-7.1,100.6,2.1,334,7.4,2017-03-18 02:00:00+00:00,2.963333333,6.095,324.05,1,-7.1,101.8,2017-03-18 01:00:00+00:00,1,8.88E-16,1.2,6.095,2.963333333
2017-03-18 02:00:00+00:00,-7.1,100.6,2.8,330,7.3,2017-03-18 03:00:00+00:00,2.403333333,5.82,322.4166667,1,-7.1,101.8,2017-03-18 02:00:00+00:00,1,8.88E-16,1.2,5.82,2.403333333
2017-03-18 03:00:00+00:00,-7.1,100.7,2.5,330,7,2017-03-18 04:00:00+00:00,1.601428571,5.932857143,322.9,1,-7.1,101.8,2017-03-18 03:00:00+00:00,1,8.88E-16,1.1,5.932857143,1.601428571
2017-03-18 04:00:00+00:00,-7.1,100.7,2,329,6.9,2017-03-18 05:00:00+00:00,2.191666667,5.758333333,321.3,1,-7.1,101.8,2017-03-18 04:00:00+00:00,1,8.88E-16,1.1,5.758333333,2.191666667
2017-03-18 05:00:00+00:00,-7.1,100.7,2.3,329,7.1,2017-03-18 06:00:00+00:00,2.704285714,6.021428571,317.7714286,1,-7.1,101.8,2017-03-18 05:00:00+00:00,1,8.88E-16,1.1,6.021428571,2.704285714
2017-03-18 06:00:00+00:00,-7.1,100.8,2.8,326,6.9,2017-03-18 07:00:00+00:00,2.528333333,5.913333333,323.05,1,-7.1,101.8,2017-03-18 06:00:00+00:00,1,8.88E-16,1,5.913333333,2.528333333
2017-03-18 07:00:00+00:00,-7.1,100.8,2.7,326,7,2017-03-18 08:00:00+00:00,2.608571429,5.865714286,323.5714286,1,-7.1,101.8,2017-03-18 07:00:00+00:00,1,8.88E-16,1,5.865714286,2.608571429
2017-03-18 08:00:00+00:00,-7.1,100.9,2.7,330,6.8,2017-03-18 09:00:00+00:00,2.765,5.833333333,313.7,1,-7.1,101.8,2017-03-18 08:00:00+00:00,1,8.88E-16,0.9,5.833333333,2.765
2017-03-18 09:00:00+00:00,-7.1,100.9,3.1,323,6.5,2017-03-18 10:00:00+00:00,3.07,5.732857143,311.9,1,-7.1,101.8,2017-03-18 09:00:00+00:00,1,8.88E-16,0.9,5.732857143,3.07
2017-03-18 10:00:00+00:00,-7.1,100.9,3.1,322,6.6,2017-03-18 11:00:00+00:00,3.02,5.515,327.45,1,-7.1,101.8,2017-03-18 10:00:00+00:00,1,8.88E-16,0.9,5.515,3.02
2017-03-18 11:00:00+00:00,-7.1,101,3,336,6.6,2017-03-18 12:00:00+00:00,2.961428571,5.241428571,325.9285714,1,-7.1,101.8,2017-03-18 11:00:00+00:00,1,8.88E-16,0.8,5.241428571,2.961428571
2017-03-18 12:00:00+00:00,-7.1,101,3,333,6.4,2017-03-18 13:00:00+00:00,2.861,5.484,320.35,1,-7.1,101.8,2017-03-18 12:00:00+00:00,1,2.66E-15,0.8,5.484,2.861
2017-03-18 13:00:00+00:00,-7.1,101.1,2.9,331,6.7,2017-03-18 14:00:00+00:00,2.978076923,5.344230769,318.2846154,1,-7.1,101.8,2017-03-18 13:00:00+00:00,1,4.44E-15,0.7,5.344230769,2.978076923
2017-03-18 14:00:00+00:00,-7.1,101.1,3.1,325,6.6,2017-03-18 15:00:00+00:00,3.053846154,5.538076923,310.3076923,1,-7.1,101.8,2017-03-18 14:00:00+00:00,1,4.44E-15,0.7,5.538076923,3.053846154
2017-03-18 15:00:00+00:00,-7.1,101.2,3,318,6.8,2017-03-18 16:00:00+00:00,2.918148148,5.922962963,302.9111111,1,-7.1,101.8,2017-03-18 15:00:00+00:00,1,5.33E-15,0.6,5.922962963,2.918148148
2017-03-18 16:00:00+00:00,-7.1,101.2,3,318,7.4,2017-03-18 17:00:00+00:00,2.920384615,6.065384615,302.5153846,1,-7.1,101.8,2017-03-18 16:00:00+00:00,1,4.44E-15,0.6,6.065384615,2.920384615
2017-03-18 17:00:00+00:00,-7.1,101.2,2.9,311,7.7,2017-03-18 18:00:00+00:00,3.026538462,6.32,301.8576923,1,-7.1,101.8,2017-03-18 17:00:00+00:00,1,4.44E-15,0.6,6.32,3.026538462
2017-03-18 18:00:00+00:00,-7.1,101.3,2.9,312,8.2,2017-03-18 19:00:00+00:00,3.121428571,6.404285714,302.9285714,1,-7.1,101.8,2017-03-18 18:00:00+00:00,1,8.88E-16,0.5,6.404285714,3.121428571
2017-03-18 19:00:00+00:00,-7.1,101.3,2.9,309,8.2,2017-03-18 20:00:00+00:00,3.218235294,6.417647059,297.5882353,1,-7.1,101.8,2017-03-18 19:00:00+00:00,1,3.55E-15,0.5,6.417647059,3.218235294
