,EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,OMNI_LAT_deg,OMNI_LONG_deg,OMNI_BR_nT,OMNI_BT_nT,OMNI_BN_nT,OMNI_MAG_AVG_nT,OMNI_SPEED_kms,OMNI_DENSITY_Ncm3,OMNI_TEMP_DegK,Time,PIONEER_DIST_Au,PIONEER_LAT_deg,PIONEER_LONG_deg,PIONEER_BR_nT,PIONEER_BT_nT,PIONEER_BN_nT,PIONEER_MAG_AVG_nT,PIONEER_SPEED_kms,PIONEER_DENSITY_Ncm3,PIONEER_TEMP_DegK,Time_offset_hours,new_time,LAT_DIFF_deg,LONG_DIFF_deg,SCALED_PIONEER_DENSITY,SCALED_PIONEER_MAG_AVG,Speed_DIFF_Kms,Density_DIFF_Ncc,Mag_DIFF_nT
0,1972-05-01 02:00:00+00:00,-4.1,145.3,4.1,-5.0,-1.2,7.9,366.0,14.2,41363.0,1972-05-02 12:00:00+00:00,1.32,-5.4,151.3,1.4524,3.4547,-0.9769,4.188,392.0,11.2621,12386.0,34,1972-05-01 02:00:00+00:00,1.3000000000000007,6.0,19.62308304,5.52816,26.0,5.423083040000002,2.3718400000000006
1,1972-05-01 03:00:00+00:00,-4.1,145.3,-0.2,-3.4,5.7,9.0,373.0,12.3,50253.0,1972-05-02 13:00:00+00:00,1.32,-5.4,151.4,-1.2231,4.4664,0.1907,4.8982,387.9,9.972000000000001,18764.0,34,1972-05-01 03:00:00+00:00,1.3000000000000007,6.099999999999994,17.375212800000003,6.465624,14.899999999999977,5.075212800000003,2.534376
2,1972-05-01 04:00:00+00:00,-4.1,145.4,1.4,2.8,-6.9,8.2,390.0,13.0,145055.0,1972-05-02 14:00:00+00:00,1.32,-5.3,151.4,-0.1913,-0.9737,-2.6174,5.2886,392.0,11.64,35271.0,34,1972-05-01 04:00:00+00:00,1.2000000000000002,6.0,20.281536000000003,6.980952,2.0,7.281536000000003,1.219047999999999
3,1972-05-01 05:00:00+00:00,-4.1,145.4,-2.1,-1.3,4.5,8.2,407.0,25.2,103265.0,1972-05-02 16:00:00+00:00,1.32,-5.3,151.5,3.9368,-2.5177,3.6635,6.4619,382.0,4.0147,109803.0,35,1972-05-01 05:00:00+00:00,1.2000000000000002,6.099999999999994,6.9952132800000015,8.529708000000001,25.0,18.204786719999998,0.3297080000000019
4,1972-05-01 05:00:00+00:00,-4.1,145.4,-2.1,-1.3,4.5,8.2,407.0,25.2,103265.0,1972-05-02 19:00:00+00:00,1.32,-5.3,151.6,-0.8869,0.6699,-1.9808,2.9705,351.7,5.1796,127463.0,38,1972-05-01 05:00:00+00:00,1.2000000000000002,6.199999999999989,9.02493504,3.92106,55.30000000000001,16.17506496,4.278939999999999
5,1972-05-01 05:00:00+00:00,-4.1,145.4,-2.1,-1.3,4.5,8.2,407.0,25.2,103265.0,1972-05-02 20:00:00+00:00,1.32,-5.3,151.7,-2.3681,-0.1432,-1.6762,3.1219,340.9,4.1233,116369.0,39,1972-05-01 05:00:00+00:00,1.2000000000000002,6.299999999999983,7.1844379200000015,4.120908,66.10000000000002,18.01556208,4.079091999999999
6,1972-05-02 00:00:00+00:00,-4.1,146.2,4.6,-1.2,-4.0,6.8,424.0,5.4,165484.0,1972-05-03 15:00:00+00:00,1.33,-5.3,152.2,-1.2426,-0.3921,1.5488,2.1365,353.1,3.6519,19362.0,39,1972-05-02 00:00:00+00:00,1.2000000000000002,6.0,6.459845910000001,2.841545,70.89999999999998,1.0598459100000008,3.958455
7,1972-05-02 01:00:00+00:00,-4.0,146.2,5.4,1.5,-4.6,7.4,431.0,5.8,180603.0,1972-05-03 14:00:00+00:00,1.33,-5.3,152.2,-0.4141,-0.7354,-0.0294,1.2293,366.5,4.1761,31550.0,37,1972-05-02 01:00:00+00:00,1.2999999999999998,6.0,7.38710329,1.6349690000000001,64.5,1.58710329,5.7650310000000005
8,1972-05-02 01:00:00+00:00,-4.0,146.2,5.4,1.5,-4.6,7.4,431.0,5.8,180603.0,1972-05-03 16:00:00+00:00,1.33,-5.3,152.2,-0.7802,-1.1959,-0.4485,2.4435,349.8,3.8771,21143.0,39,1972-05-02 01:00:00+00:00,1.2999999999999998,6.0,6.85820219,3.2498549999999997,81.19999999999999,1.0582021900000003,4.150145
9,1972-05-02 02:00:00+00:00,-4.0,146.2,-2.5,2.5,1.7,4.1,445.0,5.2,195544.0,1972-05-03 17:00:00+00:00,1.33,-5.3,152.3,-0.1941,-1.4409,-2.3492,2.8024,354.6,4.47,17774.0,39,1972-05-02 02:00:00+00:00,1.2999999999999998,6.100000000000023,7.906983,3.727192,90.39999999999998,2.706983,0.3728079999999996
10,1972-05-02 03:00:00+00:00,-4.0,146.3,0.7,1.5,-0.7,4.5,459.0,6.4,206853.0,1972-05-03 18:00:00+00:00,1.33,-5.3,152.3,0.1774,-1.4917,-2.2628,2.7411,350.5,4.9839,20875.0,39,1972-05-02 03:00:00+00:00,1.2999999999999998,6.0,8.816020710000002,3.645663,108.5,2.4160207100000015,0.8543370000000001
11,1972-05-02 03:00:00+00:00,-4.0,146.3,0.7,1.5,-0.7,4.5,459.0,6.4,206853.0,1972-05-03 19:00:00+00:00,1.33,-5.3,152.4,0.278,-1.7534,-2.2304,2.8924,343.7,5.2308,19057.0,40,1972-05-02 03:00:00+00:00,1.2999999999999998,6.099999999999994,9.252762120000002,3.846892,115.30000000000001,2.8527621200000013,0.653108
12,1972-05-02 05:00:00+00:00,-4.0,146.4,2.7,1.8,0.2,3.9,459.0,5.1,152053.0,1972-05-03 20:00:00+00:00,1.33,-5.3,152.4,-0.4535,-1.4266,-2.7843,3.2026,350.9,5.7873,12873.0,39,1972-05-02 05:00:00+00:00,1.2999999999999998,6.0,10.23715497,4.259458,108.10000000000002,5.137154970000001,0.3594580000000005
13,1972-05-02 07:00:00+00:00,-4.0,146.4,-0.1,-2.7,-3.3,7.2,491.0,5.1,161685.0,1972-05-03 21:00:00+00:00,1.33,-5.3,152.3,-0.4887,-0.3425,-4.5753,4.7064,364.8,10.1498,14495.0,38,1972-05-02 07:00:00+00:00,1.2999999999999998,5.900000000000006,17.953981220000003,6.259512000000001,126.19999999999999,12.853981220000003,0.9404879999999993
14,1972-05-02 08:00:00+00:00,-4.0,146.5,2.7,-4.4,-5.0,8.0,489.0,5.0,140020.0,1972-05-03 22:00:00+00:00,1.33,-5.3,152.4,0.41600000000000004,-0.8244,-4.6456,5.3852,365.4,10.7781,17267.0,38,1972-05-02 08:00:00+00:00,1.2999999999999998,5.900000000000006,19.065381090000002,7.162316000000001,123.60000000000002,14.065381090000002,0.8376839999999994
15,1972-05-02 09:00:00+00:00,-4.0,146.5,6.9,-4.4,-0.1,8.9,475.0,5.0,182488.0,1972-05-03 23:00:00+00:00,1.33,-5.3,152.4,-0.5525,3.9754,-3.5548,5.9276,362.4,10.3617,26586.0,38,1972-05-02 09:00:00+00:00,1.2999999999999998,5.900000000000006,18.328811130000002,7.883708,112.60000000000002,13.328811130000002,1.016292
16,1972-05-02 09:00:00+00:00,-4.0,146.5,6.9,-4.4,-0.1,8.9,475.0,5.0,182488.0,1972-05-04 00:00:00+00:00,1.33,-5.3,152.4,0.3902,2.4721,-4.3111,5.8189,355.0,7.6049,19139.0,39,1972-05-02 09:00:00+00:00,1.2999999999999998,5.900000000000006,13.452307610000002,7.739137,120.0,8.452307610000002,1.160863
17,1972-05-02 09:00:00+00:00,-4.0,146.5,6.9,-4.4,-0.1,8.9,475.0,5.0,182488.0,1972-05-04 01:00:00+00:00,1.34,-5.2,152.5,1.8478,5.3857,-1.3915,6.4302,355.7,8.1811,29569.0,40,1972-05-02 09:00:00+00:00,1.2000000000000002,6.0,14.689983160000002,8.616468000000001,119.30000000000001,9.689983160000002,0.28353199999999923
18,1972-05-02 11:00:00+00:00,-4.0,146.6,6.0,-5.2,-1.7,8.9,491.0,4.7,243063.0,1972-05-04 02:00:00+00:00,1.34,-5.2,152.5,2.0992,4.8826,3.1316,6.4947,362.9,9.4228,25456.0,39,1972-05-02 11:00:00+00:00,1.2000000000000002,5.900000000000006,16.919579680000005,8.702898000000001,128.10000000000002,12.219579680000006,0.19710199999999922
19,1972-05-02 11:00:00+00:00,-4.0,146.6,6.0,-5.2,-1.7,8.9,491.0,4.7,243063.0,1972-05-04 03:00:00+00:00,1.34,-5.2,152.6,3.8378,3.7536,2.6929,6.3166,355.6,12.8058,47507.0,40,1972-05-02 11:00:00+00:00,1.2000000000000002,6.0,22.99409448,8.464244,135.39999999999998,18.294094480000002,0.4357559999999996
20,1972-05-02 12:00:00+00:00,-4.0,146.6,5.6,-7.4,-0.9,9.7,522.0,5.1,318005.0,1972-05-04 04:00:00+00:00,1.34,-5.2,152.6,3.7371,2.9017,2.9699,5.8255,351.5,11.0225,58216.0,40,1972-05-02 12:00:00+00:00,1.2000000000000002,6.0,19.792001000000006,7.806170000000001,170.5,14.692001000000007,1.8938299999999986
21,1972-05-02 15:00:00+00:00,-4.0,146.8,6.2,-5.3,6.3,10.8,540.0,6.1,353011.0,1972-05-04 07:00:00+00:00,1.34,-5.2,152.7,2.2353,2.7131,5.0176,6.3913,357.0,15.3931,27676.0,40,1972-05-02 15:00:00+00:00,1.2000000000000002,5.899999999999977,27.639850360000004,8.564342,183.0,21.539850360000003,2.235658000000001
22,1972-05-02 15:00:00+00:00,-4.0,146.8,6.2,-5.3,6.3,10.8,540.0,6.1,353011.0,1972-05-04 08:00:00+00:00,1.34,-5.2,152.8,2.5177,3.4286,4.8719,6.7356,343.0,15.4166,24826.0,41,1972-05-02 15:00:00+00:00,1.2000000000000002,6.0,27.682046960000005,9.025704000000001,197.0,21.582046960000007,1.7742959999999997
23,1972-05-02 16:00:00+00:00,-4.0,146.8,5.7,-8.7,1.9,11.2,531.0,6.1,375660.0,1972-05-04 06:00:00+00:00,1.34,-5.2,152.7,1.9787,2.1755,3.3689,4.7242,370.4,14.3808,46427.0,38,1972-05-02 16:00:00+00:00,1.2000000000000002,5.899999999999977,25.822164480000005,6.330428,160.60000000000002,19.722164480000004,4.869571999999999
24,1972-05-03 07:00:00+00:00,-3.9,147.4,8.3,-6.9,-0.5,11.1,443.0,7.2,186843.0,1972-05-04 17:00:00+00:00,1.34,-5.2,153.0,2.8639,-11.6492,1.0417,12.2627,416.3,4.0844,313796.0,34,1972-05-03 07:00:00+00:00,1.3000000000000003,5.599999999999994,7.33394864,16.432018000000003,26.69999999999999,0.13394863999999984,5.332018000000003
25,1972-05-03 07:00:00+00:00,-3.9,147.4,8.3,-6.9,-0.5,11.1,443.0,7.2,186843.0,1972-05-04 18:00:00+00:00,1.34,-5.2,153.0,1.8730000000000002,-12.6868,-0.3692,13.3031,403.2,3.31,203219.0,35,1972-05-03 07:00:00+00:00,1.3000000000000003,5.599999999999994,5.943436000000001,17.826154000000002,39.80000000000001,1.2565639999999991,6.726154000000003
26,1972-05-03 09:00:00+00:00,-3.9,147.5,2.2,-11.2,-2.0,11.7,459.0,5.7,203425.0,1972-05-04 16:00:00+00:00,1.34,-5.2,153.0,2.3366,-11.1689,-0.9384,12.1288,452.8,4.5314,439679.0,31,1972-05-03 09:00:00+00:00,1.3000000000000003,5.5,8.13658184,16.252592,6.199999999999989,2.4365818399999997,4.552592000000001
27,1972-05-03 09:00:00+00:00,-3.9,147.5,2.2,-11.2,-2.0,11.7,459.0,5.7,203425.0,1972-05-04 23:00:00+00:00,1.34,-5.2,153.1,1.9115,-10.8709,0.508,11.1708,376.7,3.7765,115908.0,38,1972-05-03 09:00:00+00:00,1.3000000000000003,5.599999999999994,6.7810834,14.968872000000001,82.30000000000001,1.0810833999999998,3.2688720000000018
