,EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,OMNI_LAT_deg,OMNI_LONG_deg,OMNI_BR_nT,OMNI_BT_nT,OMNI_BN_nT,OMNI_MAG_AVG_nT,OMNI_SPEED_kms,OMNI_DENSITY_Ncm3,OMNI_TEMP_DegK,Time,PIONEER_DIST_Au,PIONEER_LAT_deg,PIONEER_LONG_deg,PIONEER_BR_nT,PIONEER_BT_nT,PIONEER_BN_nT,PIONEER_MAG_AVG_nT,PIONEER_SPEED_kms,PIONEER_DENSITY_Ncm3,PIONEER_TEMP_DegK,Time_offset_hours,new_time,LAT_DIFF_deg,LONG_DIFF_deg,SCALED_PIONEER_DENSITY,SCALED_PIONEER_MAG_AVG,Speed_DIFF_Kms,Density_DIFF_Ncc,Mag_DIFF_nT
0,1973-05-01 00:00:00+00:00,-4.2,144.9,3.5,-1.8,0.2,5.0,675.0,2.2,311423.0,1973-05-01 05:00:00+00:00,1.07,-5.0,152.0,3.5399,-3.7872,-0.5937,5.8112,624.3,1.3273,229542.0,5,1973-05-01 00:00:00+00:00,0.7999999999999998,7.099999999999994,1.5196257700000002,6.217984,50.700000000000045,0.68037423,1.2179840000000004
1,1973-05-01 01:00:00+00:00,-4.2,145.0,2.5,-3.5,1.1,5.3,634.0,2.2,308901.0,1973-05-01 06:00:00+00:00,1.07,-5.0,152.1,3.332,-3.5958,-2.1733,6.0049,621.1,1.4551,119367.0,5,1973-05-01 01:00:00+00:00,0.7999999999999998,7.099999999999994,1.6659439900000002,6.425243000000001,12.899999999999977,0.53405601,1.125243000000001
2,1973-05-01 03:00:00+00:00,-4.2,145.0,2.8,-4.1,-1.1,5.5,630.0,2.1,274185.0,1973-05-01 08:00:00+00:00,1.07,-5.0,152.2,4.3023,-3.1543,0.3527,5.7997,602.7,1.4942,149286.0,5,1973-05-01 03:00:00+00:00,0.7999999999999998,7.199999999999989,1.71070958,6.205679,27.299999999999955,0.38929042,0.705679
3,1973-05-01 05:00:00+00:00,-4.2,145.1,3.3,-2.0,0.4,5.2,615.0,2.4,309590.0,1973-05-01 10:00:00+00:00,1.07,-5.0,152.3,3.4003,-2.2877,-1.8861,5.3535,643.1,1.1859,236159.0,5,1973-05-01 05:00:00+00:00,0.7999999999999998,7.200000000000017,1.35773691,5.728245000000001,28.100000000000023,1.0422630899999998,0.528245000000001
4,1973-05-01 06:00:00+00:00,-4.2,145.2,3.6,-2.3,-0.5,5.2,610.0,2.2,316734.0,1973-05-01 11:00:00+00:00,1.07,-5.0,152.3,3.9122,-2.1932,-1.4324,5.2529,626.2,2.7818,177956.0,5,1973-05-01 06:00:00+00:00,0.7999999999999998,7.100000000000023,3.1848828200000003,5.620603000000001,16.200000000000045,0.9848828200000002,0.4206030000000007
5,1973-05-01 08:00:00+00:00,-4.1,145.3,2.6,0.2,2.6,5.4,628.0,2.4,358348.0,1973-05-01 13:00:00+00:00,1.07,-5.0,152.4,4.2504,-0.9926,1.3711,5.2983,618.7,1.0576,157396.0,5,1973-05-01 08:00:00+00:00,0.9000000000000004,7.099999999999994,1.2108462400000002,5.669181000000001,9.299999999999955,1.1891537599999997,0.26918100000000056
6,1973-05-02 08:00:00+00:00,-4.0,146.2,1.9,-4.1,3.2,5.9,696.0,1.5,357684.0,1973-05-02 12:00:00+00:00,1.07,-4.9,153.5,4.2083,-4.3505,0.6706,6.9181,704.6,1.1576,143449.0,4,1973-05-02 08:00:00+00:00,0.9000000000000004,7.300000000000011,1.32533624,7.402367,8.600000000000023,0.17466376000000006,1.5023669999999996
7,1973-05-02 09:00:00+00:00,-4.0,146.3,2.2,-5.0,2.5,6.1,684.0,1.6,349288.0,1973-05-02 13:00:00+00:00,1.07,-4.9,153.5,1.4953,-5.7664,2.7841,6.6926,716.5,1.1139,144051.0,4,1973-05-02 09:00:00+00:00,0.9000000000000004,7.199999999999989,1.27530411,7.161082,32.5,0.3246958900000001,1.0610820000000007
8,1973-05-02 19:00:00+00:00,-4.0,146.7,-1.1,-4.7,0.3,4.8,620.0,3.5,168386.0,1973-05-03 00:00:00+00:00,1.08,-4.9,154.1,3.9383,-3.2545,-0.7408,5.5423,609.1,1.2316,109555.0,5,1973-05-02 19:00:00+00:00,0.9000000000000004,7.400000000000006,1.4365382400000004,5.985684,10.899999999999977,2.0634617599999996,1.1856840000000002
9,1973-05-02 19:00:00+00:00,-4.0,146.7,-1.1,-4.7,0.3,4.8,620.0,3.5,168386.0,1973-05-03 01:00:00+00:00,1.08,-4.8,154.1,4.9859,-1.7429,-1.2669,5.6604,591.3,1.1817,84369.0,6,1973-05-02 19:00:00+00:00,0.7999999999999998,7.400000000000006,1.3783348800000002,6.113232000000001,28.700000000000045,2.12166512,1.313232000000001
