,EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,OMNI_LAT_deg,OMNI_LONG_deg,OMNI_MAG_AVG_nT,OMNI_SPEED_kms,OMNI_DENSITY_Ncc,EPOCH_TIME__yyyy-mm-ddThh:mm:ss.sssZ,ARTEMIS_MAG_AVG_nt,ARTEMIS_DENSITY_Ncc,ARTEMIS_SPEED_kms,ARTEMIS_DIST_AU,ARTEMIS_LAT_DEG,ARTEMIS_LONG_DEG,new_time,Time_offset_hours
0,2018-03-22 23:00:00+00:00,-7,105.2,6,403,13.4,2018-03-23 00:00:00+00:00,5.668571429,9.068571429,389.7142857,1,-7,106.3,2018-03-22 23:00:00+00:00,1
1,2018-03-23 00:00:00+00:00,-7,105.3,6.1,411,11.9,2018-03-23 01:00:00+00:00,5.031666667,8.198333333,396.5666667,1,-7,106.3,2018-03-23 00:00:00+00:00,1
2,2018-03-23 01:00:00+00:00,-7,105.3,3.2,413,11.1,2018-03-23 02:00:00+00:00,5.867142857,7.114285714,385.4714286,1,-7,106.3,2018-03-23 01:00:00+00:00,1
3,2018-03-23 02:00:00+00:00,-7,105.3,4.1,411,9.7,2018-03-23 03:00:00+00:00,5.195555556,7.415555556,396.0888889,1,-7,106.3,2018-03-23 02:00:00+00:00,1
4,2018-03-23 03:00:00+00:00,-7,105.4,5.1,418,10,2018-03-23 04:00:00+00:00,6.876923077,5.617692308,397.9230769,1,-7,106.3,2018-03-23 03:00:00+00:00,1
5,2018-03-23 04:00:00+00:00,-7,105.4,6.6,418,6.7,2018-03-23 05:00:00+00:00,7.239615385,5.263076923,411.4653846,1,-7,106.3,2018-03-23 04:00:00+00:00,1
6,2018-03-23 05:00:00+00:00,-7,105.5,7.1,418,4.5,2018-03-23 06:00:00+00:00,7.110384615,5.417307692,410.4461538,1,-7,106.3,2018-03-23 05:00:00+00:00,1
7,2018-03-23 06:00:00+00:00,-7,105.5,7.2,409,4.6,2018-03-23 07:00:00+00:00,6.684230769,5.153076923,408.9961538,1,-7,106.3,2018-03-23 06:00:00+00:00,1
8,2018-03-23 07:00:00+00:00,-7,105.6,6.6,408,4.7,2018-03-23 08:00:00+00:00,6.143636364,5.137272727,416.4818182,1,-7,106.3,2018-03-23 07:00:00+00:00,1
9,2018-03-23 08:00:00+00:00,-7,105.6,5.8,438,6.4,2018-03-23 09:00:00+00:00,5.745714286,5.89,418.5285714,1,-7,106.3,2018-03-23 08:00:00+00:00,1
10,2018-03-23 09:00:00+00:00,-7,105.6,5.2,444,7.9,2018-03-23 10:00:00+00:00,5.161428571,5.991428571,406.8857143,1,-7,106.3,2018-03-23 09:00:00+00:00,1
11,2018-03-23 10:00:00+00:00,-7,105.7,5.7,428,7.9,2018-03-23 11:00:00+00:00,4.241666667,6.618333333,415.45,1,-7,106.3,2018-03-23 10:00:00+00:00,1
12,2018-03-23 11:00:00+00:00,-7,105.7,4.5,430,8.7,2018-03-23 12:00:00+00:00,4.884285714,6.422857143,409.3142857,1,-7,106.3,2018-03-23 11:00:00+00:00,1
13,2018-03-23 12:00:00+00:00,-7,105.8,4.8,424,8.7,2018-03-23 13:00:00+00:00,5.175,5.798333333,411.0833333,1,-7,106.3,2018-03-23 12:00:00+00:00,1
14,2018-03-23 13:00:00+00:00,-7,105.8,5.1,427,7.9,2018-03-23 14:00:00+00:00,4.672857143,6.527142857,420.2428571,1,-7,106.3,2018-03-23 13:00:00+00:00,1
