,EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,OMNI_LAT_deg,OMNI_LONG_deg,OMNI_MAG_AVG_nT,OMNI_SPEED_kms,OMNI_DENSITY_Ncc,EPOCH_TIME__yyyy-mm-ddThh:mm:ss.sssZ,ARTEMIS_MAG_AVG_nt,ARTEMIS_DENSITY_Ncc,ARTEMIS_SPEED_kms,ARTEMIS_DIST_AU,ARTEMIS_LAT_DEG,ARTEMIS_LONG_DEG,new_time,Time_offset_hours
0,2017-03-17 09:00:00+00:00,-7.1,99.9,2.6,347.0,6.7,2017-03-17 10:00:00+00:00,2.946,5.778999999999999,337.2299999999999,1.0,-7.099999999999997,100.79999999999997,2017-03-17 09:00:00+00:00,1
1,2017-03-17 10:00:00+00:00,-7.1,99.9,2.7,348.0,6.6,2017-03-17 11:00:00+00:00,2.7449999999999983,5.808846153846156,337.35769230769216,1.0,-7.100000000000004,100.8000000000001,2017-03-17 10:00:00+00:00,1
2,2017-03-17 11:00:00+00:00,-7.1,100.0,2.7,345.0,6.6,2017-03-17 12:00:00+00:00,2.773076923076924,5.672307692307693,337.2423076923077,1.0,-7.100000000000004,100.8000000000001,2017-03-17 11:00:00+00:00,1
3,2017-03-17 12:00:00+00:00,-7.1,100.0,2.6,345.0,6.5,2017-03-17 13:00:00+00:00,2.824814814814814,5.60074074074074,334.55555555555554,1.0,-7.100000000000005,100.8000000000001,2017-03-17 12:00:00+00:00,1
4,2017-03-17 13:00:00+00:00,-7.1,100.1,2.9,344.0,6.6,2017-03-17 14:00:00+00:00,3.2057692307692327,6.133461538461537,335.0076923076923,1.0,-7.100000000000004,100.8000000000001,2017-03-17 13:00:00+00:00,1
5,2017-03-17 14:00:00+00:00,-7.1,100.1,3.1,343.0,6.8,2017-03-17 15:00:00+00:00,2.9815789473684218,5.696315789473684,329.8,1.0,-7.099999999999997,100.80000000000007,2017-03-17 14:00:00+00:00,1
6,2017-03-17 15:00:00+00:00,-7.1,100.2,3.1,336.0,6.8,2017-03-17 16:00:00+00:00,3.1342857142857135,5.667142857142857,327.90000000000003,1.0,-7.099999999999999,100.79999999999997,2017-03-17 15:00:00+00:00,1
7,2017-03-17 16:00:00+00:00,-7.1,100.2,3.2,334.0,6.5,2017-03-17 17:00:00+00:00,2.848333333333333,5.843333333333333,331.0666666666666,1.0,-7.099999999999999,100.79999999999997,2017-03-17 16:00:00+00:00,1
8,2017-03-17 17:00:00+00:00,-7.1,100.2,3.1,333.0,6.3,2017-03-17 18:00:00+00:00,2.999999999999999,5.492857142857143,329.04285714285703,1.0,-7.099999999999999,100.79999999999997,2017-03-17 17:00:00+00:00,1
9,2017-03-17 18:00:00+00:00,-7.1,100.3,3.0,333.0,6.5,2017-03-17 19:00:00+00:00,2.798333333333334,5.656249999999997,320.6916666666666,1.0,-7.100000000000002,100.80000000000008,2017-03-17 18:00:00+00:00,1
10,2017-03-17 19:00:00+00:00,-7.1,100.3,2.8,332.0,7.7,2017-03-17 20:00:00+00:00,2.795769230769231,6.416923076923078,321.61923076923074,1.0,-7.100000000000004,100.8000000000001,2017-03-17 19:00:00+00:00,1
11,2017-03-17 20:00:00+00:00,-7.1,100.4,2.9,337.0,7.6,2017-03-17 21:00:00+00:00,3.1900000000000004,6.075,320.0,1.0,-7.1,100.8,2017-03-17 20:00:00+00:00,1
16,2017-03-18 01:00:00+00:00,-7.1,100.6,2.1,334.0,7.4,2017-03-18 02:00:00+00:00,2.9633333333333334,6.095,324.05,1.0,-7.099999999999999,101.79999999999997,2017-03-18 01:00:00+00:00,1
17,2017-03-18 02:00:00+00:00,-7.1,100.6,2.8,330.0,7.3,2017-03-18 03:00:00+00:00,2.4033333333333338,5.82,322.4166666666667,1.0,-7.099999999999999,101.79999999999997,2017-03-18 02:00:00+00:00,1
18,2017-03-18 03:00:00+00:00,-7.1,100.7,2.5,330.0,7.0,2017-03-18 04:00:00+00:00,1.6014285714285716,5.932857142857143,322.9,1.0,-7.099999999999999,101.79999999999997,2017-03-18 03:00:00+00:00,1
19,2017-03-18 04:00:00+00:00,-7.1,100.7,2.0,329.0,6.9,2017-03-18 05:00:00+00:00,2.191666666666667,5.758333333333334,321.3,1.0,-7.099999999999999,101.79999999999997,2017-03-18 04:00:00+00:00,1
20,2017-03-18 05:00:00+00:00,-7.1,100.7,2.3,329.0,7.1,2017-03-18 06:00:00+00:00,2.704285714285714,6.021428571428571,317.7714285714286,1.0,-7.099999999999999,101.79999999999997,2017-03-18 05:00:00+00:00,1
21,2017-03-18 06:00:00+00:00,-7.1,100.8,2.8,326.0,6.9,2017-03-18 07:00:00+00:00,2.528333333333333,5.913333333333334,323.04999999999995,1.0,-7.099999999999999,101.79999999999997,2017-03-18 06:00:00+00:00,1
22,2017-03-18 07:00:00+00:00,-7.1,100.8,2.7,326.0,7.0,2017-03-18 08:00:00+00:00,2.608571428571429,5.865714285714285,323.57142857142856,1.0,-7.099999999999999,101.79999999999997,2017-03-18 07:00:00+00:00,1
23,2017-03-18 08:00:00+00:00,-7.1,100.9,2.7,330.0,6.8,2017-03-18 09:00:00+00:00,2.765,5.833333333333333,313.7,1.0,-7.099999999999999,101.79999999999997,2017-03-18 08:00:00+00:00,1
24,2017-03-18 09:00:00+00:00,-7.1,100.9,3.1,323.0,6.5,2017-03-18 10:00:00+00:00,3.0699999999999994,5.732857142857142,311.9,1.0,-7.099999999999999,101.79999999999997,2017-03-18 09:00:00+00:00,1
25,2017-03-18 10:00:00+00:00,-7.1,100.9,3.1,322.0,6.6,2017-03-18 11:00:00+00:00,3.02,5.515000000000001,327.45000000000005,1.0,-7.099999999999999,101.79999999999997,2017-03-18 10:00:00+00:00,1
26,2017-03-18 11:00:00+00:00,-7.1,101.0,3.0,336.0,6.6,2017-03-18 12:00:00+00:00,2.961428571428571,5.241428571428571,325.92857142857144,1.0,-7.099999999999999,101.79999999999997,2017-03-18 11:00:00+00:00,1
27,2017-03-18 12:00:00+00:00,-7.1,101.0,3.0,333.0,6.4,2017-03-18 13:00:00+00:00,2.8609999999999998,5.483999999999999,320.35,1.0,-7.099999999999997,101.79999999999997,2017-03-18 12:00:00+00:00,1
28,2017-03-18 13:00:00+00:00,-7.1,101.1,2.9,331.0,6.7,2017-03-18 14:00:00+00:00,2.978076923076924,5.344230769230771,318.2846153846154,1.0,-7.100000000000004,101.8000000000001,2017-03-18 13:00:00+00:00,1
29,2017-03-18 14:00:00+00:00,-7.1,101.1,3.1,325.0,6.6,2017-03-18 15:00:00+00:00,3.0538461538461537,5.5380769230769245,310.3076923076923,1.0,-7.100000000000004,101.8000000000001,2017-03-18 14:00:00+00:00,1
30,2017-03-18 15:00:00+00:00,-7.1,101.2,3.0,318.0,6.8,2017-03-18 16:00:00+00:00,2.918148148148149,5.922962962962964,302.9111111111111,1.0,-7.100000000000005,101.8000000000001,2017-03-18 15:00:00+00:00,1
31,2017-03-18 16:00:00+00:00,-7.1,101.2,3.0,318.0,7.4,2017-03-18 17:00:00+00:00,2.9203846153846156,6.065384615384617,302.51538461538456,1.0,-7.100000000000004,101.8000000000001,2017-03-18 16:00:00+00:00,1
32,2017-03-18 17:00:00+00:00,-7.1,101.2,2.9,311.0,7.7,2017-03-18 18:00:00+00:00,3.0265384615384616,6.320000000000002,301.85769230769233,1.0,-7.100000000000004,101.8000000000001,2017-03-18 17:00:00+00:00,1
33,2017-03-18 18:00:00+00:00,-7.1,101.3,2.9,312.0,8.2,2017-03-18 19:00:00+00:00,3.1214285714285714,6.404285714285714,302.92857142857144,1.0,-7.099999999999999,101.79999999999997,2017-03-18 18:00:00+00:00,1
34,2017-03-18 19:00:00+00:00,-7.1,101.3,2.9,309.0,8.2,2017-03-18 20:00:00+00:00,3.218235294117647,6.417647058823529,297.58823529411774,1.0,-7.099999999999996,101.80000000000005,2017-03-18 19:00:00+00:00,1
35,2017-03-18 20:00:00+00:00,-7.1,101.4,3.0,303.0,7.8,2017-03-18 21:00:00+00:00,3.25423076923077,6.549230769230769,295.8576923076922,1.0,-7.100000000000004,101.8000000000001,2017-03-18 20:00:00+00:00,1
36,2017-03-18 21:00:00+00:00,-7.1,101.4,3.0,302.0,7.7,2017-03-18 22:00:00+00:00,3.0749999999999993,6.901249999999999,293.25,1.0,-7.099999999999998,101.79999999999997,2017-03-18 21:00:00+00:00,1
41,2017-03-19 02:00:00+00:00,-7.1,101.6,3.6,312.0,8.3,2017-03-19 03:00:00+00:00,3.571666666666667,7.213333333333334,301.71666666666664,1.0,-7.0,102.79999999999997,2017-03-19 02:00:00+00:00,1
42,2017-03-19 03:00:00+00:00,-7.1,101.7,3.7,310.0,8.2,2017-03-19 04:00:00+00:00,3.628571428571429,7.0600000000000005,305.90000000000003,1.0,-7.0,102.79999999999997,2017-03-19 03:00:00+00:00,1
43,2017-03-19 04:00:00+00:00,-7.1,101.7,3.6,318.0,8.5,2017-03-19 05:00:00+00:00,3.1099999999999994,6.627142857142856,312.2428571428572,1.0,-7.0,102.79999999999997,2017-03-19 04:00:00+00:00,1
44,2017-03-19 05:00:00+00:00,-7.1,101.7,3.6,319.0,7.7,2017-03-19 06:00:00+00:00,3.208333333333334,6.213333333333334,312.15,1.0,-7.0,102.79999999999997,2017-03-19 05:00:00+00:00,1
45,2017-03-19 06:00:00+00:00,-7.1,101.8,3.3,317.0,7.8,2017-03-19 07:00:00+00:00,3.358571428571428,6.332857142857144,309.6714285714285,1.0,-7.0,102.79999999999997,2017-03-19 06:00:00+00:00,1
