EPOCH_TIME__yyyy-mm-ddThh:mm:ss.sssZ,IonDensityN_cc,VTH_ION_FULL_ESA-B__km/s,X_(@_x_)_Re,Y_(@_y_)_Re,Z_(@_z_)_Re,X_(@_x_)_Rm,Y_(@_y_)_Rm,Z_(@_z_)_Rm
2019-08-01T00:08:17.788Z,4.37,469.4,56.31,0.711,1.821,-0.801,9.07,0.44
2019-08-01T00:17:29.515Z,5.09,496.2,56.33,0.822,1.828,-0.726,9.156,0.436
2019-08-01T00:26:41.243Z,5.1,476,56.349,0.933,1.836,-0.655,9.243,0.433
2019-08-01T00:35:52.971Z,4.3,480.7,56.37,1.043,1.842,-0.58,9.319,0.426
2019-08-01T00:45:04.698Z,3.39,477.8,56.389,1.151,1.849,-0.509,9.394,0.422
2019-08-01T00:54:16.426Z,4.9,493.7,56.409,1.259,1.856,-0.438,9.468,0.419
2019-08-01T01:03:28.154Z,4.19,482.8,56.429,1.367,1.863,-0.36,9.539,0.416
2019-08-01T01:12:39.881Z,2.27,522.4,56.448,1.473,1.87,-0.286,9.607,0.411
2019-08-01T01:21:51.608Z,2.23,528.3,56.468,1.578,1.876,-0.214,9.67,0.404
2019-08-01T01:31:03.336Z,2.04,537.8,56.487,1.683,1.883,-0.139,9.73,0.4
2019-08-01T01:40:15.063Z,2.07,549.1,56.506,1.787,1.889,-0.068,9.787,0.392
2019-08-01T01:49:26.790Z,2.14,523.6,56.525,1.889,1.896,0.007,9.841,0.389
2019-08-01T01:58:38.517Z,1.96,523.7,56.544,1.991,1.903,0.084,9.89,0.384
2019-08-01T02:07:50.244Z,2.03,523.9,56.563,2.093,1.909,0.157,9.942,0.378
2019-08-01T02:17:01.971Z,1.91,537.9,56.581,2.193,1.916,0.228,9.987,0.374
2019-08-01T02:26:13.697Z,1.79,536,56.6,2.293,1.922,0.305,10.031,0.367
2019-08-01T02:35:25.424Z,1.66,533.4,56.619,2.392,1.928,0.381,10.071,0.359
2019-08-01T02:44:37.151Z,1.91,518.5,56.636,2.49,1.935,0.452,10.107,0.352
2019-08-01T02:53:48.878Z,1.93,519.2,56.655,2.588,1.941,0.526,10.143,0.348
2019-08-01T03:03:00.604Z,1.85,520.7,56.673,2.684,1.947,0.602,10.17,0.341
2019-08-01T03:12:12.331Z,2.03,519.3,56.69,2.78,1.954,0.673,10.201,0.337
2019-08-01T03:21:24.058Z,1.89,513.6,56.708,2.875,1.96,0.745,10.227,0.329
2019-08-01T03:30:35.785Z,1.96,514.8,56.725,2.97,1.967,0.819,10.251,0.323
2019-08-01T03:39:47.511Z,1.52,545.7,56.743,3.064,1.973,0.893,10.272,0.318
2019-08-01T03:48:59.238Z,1.68,545.9,56.76,3.157,1.978,0.964,10.291,0.308
2019-08-01T03:58:10.964Z,1.75,538,56.776,3.249,1.985,1.036,10.303,0.304
2019-08-01T04:07:22.691Z,1.87,550.8,56.793,3.341,1.991,1.108,10.318,0.296
2019-08-01T04:16:34.417Z,1.95,553.6,56.81,3.431,1.997,1.182,10.324,0.288
2019-08-01T04:25:46.143Z,1.86,557.1,56.826,3.521,2.003,1.253,10.332,0.283
2019-08-01T04:34:57.869Z,1.74,546.8,56.842,3.611,2.009,1.324,10.339,0.275
2019-08-01T04:44:09.595Z,1.77,541,56.857,3.699,2.015,1.395,10.342,0.268
2019-08-01T04:53:21.321Z,1.84,539.2,56.873,3.787,2.021,1.466,10.341,0.26
2019-08-01T05:02:33.047Z,1.79,530.4,56.889,3.874,2.027,1.535,10.335,0.255
2019-08-01T05:11:44.773Z,1.83,545.1,56.903,3.961,2.033,1.605,10.332,0.246
2019-08-01T05:20:56.499Z,1.63,537.7,56.919,4.046,2.039,1.676,10.321,0.238
2019-08-01T05:30:08.225Z,1.92,538.1,56.933,4.131,2.045,1.744,10.31,0.234
2019-08-01T05:39:19.951Z,1.88,545.9,56.948,4.216,2.05,1.812,10.297,0.224
2019-08-01T05:48:31.677Z,1.86,544.5,56.962,4.299,2.057,1.882,10.28,0.216
2019-08-01T05:57:43.403Z,1.86,542.1,56.976,4.383,2.062,1.949,10.263,0.206
2019-08-01T06:06:55.129Z,1.89,548.2,56.99,4.464,2.068,2.017,10.24,0.202
2019-08-01T06:16:06.855Z,1.91,536.2,57.003,4.546,2.074,2.084,10.218,0.194
2019-08-01T06:25:18.580Z,1.97,544.6,57.016,4.627,2.08,2.15,10.189,0.186
2019-08-01T06:34:30.306Z,1.81,537,57.029,4.707,2.086,2.215,10.159,0.18
2019-08-01T06:43:42.032Z,1.72,524.5,57.041,4.786,2.091,2.282,10.127,0.17
2019-08-01T06:52:53.757Z,1.93,530.2,57.054,4.865,2.097,2.347,10.094,0.161
2019-08-01T07:02:05.483Z,1.96,529.4,57.066,4.943,2.103,2.41,10.056,0.157
2019-08-01T07:11:17.208Z,1.9,529.6,57.077,5.02,2.108,2.473,10.015,0.147
2019-08-01T07:20:28.933Z,1.72,538.5,57.089,5.096,2.114,2.536,9.974,0.138
2019-08-01T07:29:40.659Z,1.78,535.4,57.1,5.172,2.12,2.595,9.931,0.132
2019-08-01T07:38:52.384Z,1.79,530.7,57.111,5.247,2.125,2.659,9.881,0.121
2019-08-01T07:48:04.109Z,1.78,524.5,57.121,5.322,2.131,2.718,9.832,0.114
2019-08-01T07:57:15.834Z,1.71,534.8,57.131,5.395,2.137,2.778,9.78,0.109
2019-08-01T08:06:27.559Z,1.88,521,57.141,5.468,2.142,2.84,9.721,0.099
2019-08-01T08:16:09.457Z,1.81,524.1,57.151,5.544,2.148,2.902,9.663,0.089
2019-08-01T08:18:27.388Z,2.09,520.5,57.153,5.562,2.149,2.915,9.646,0.088
2019-08-01T08:20:45.319Z,2.02,526.8,57.156,5.58,2.151,2.929,9.632,0.084
2019-08-01T08:23:03.250Z,1.9,532.1,57.158,5.597,2.152,2.945,9.616,0.084
2019-08-01T08:25:21.182Z,1.97,519,57.16,5.615,2.153,2.959,9.602,0.081
2019-08-01T08:27:39.113Z,1.92,515,57.163,5.633,2.155,2.972,9.585,0.078
2019-08-01T08:29:57.044Z,1.73,518.6,57.165,5.651,2.157,2.989,9.569,0.081
2019-08-01T08:32:14.975Z,1.91,522.5,57.167,5.668,2.158,3.002,9.552,0.076
2019-08-01T08:34:32.907Z,1.87,519.6,57.17,5.686,2.16,3.017,9.535,0.073
2019-08-01T08:36:50.838Z,1.8,524.5,57.172,5.704,2.161,3.032,9.522,0.073
2019-08-01T08:39:08.769Z,1.96,535.8,57.173,5.721,2.162,3.042,9.505,0.07
2019-08-01T08:41:26.701Z,1.76,533.8,57.175,5.738,2.163,3.058,9.487,0.066
2019-08-01T08:43:44.632Z,1.74,536.5,57.178,5.756,2.165,3.072,9.471,0.066
2019-08-01T08:46:02.563Z,1.65,543.8,57.18,5.773,2.166,3.088,9.455,0.062
2019-08-01T08:48:20.495Z,1.88,545.8,57.181,5.79,2.167,3.098,9.437,0.059
2019-08-01T08:50:38.426Z,1.88,543.3,57.184,5.807,2.169,3.112,9.417,0.06
2019-08-01T08:52:56.357Z,1.96,547.5,57.186,5.825,2.171,3.128,9.401,0.059
2019-08-01T08:55:14.289Z,1.78,546,57.188,5.842,2.172,3.14,9.384,0.055
