EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,Ion_Density_n_cc,Ion_Velocity_km_s
 2019-08-01T00:08:17.788Z,4.37,469.4
 2019-08-01T00:17:29.515Z,5.09,496.2
 2019-08-01T00:26:41.243Z,5.1,476
 2019-08-01T00:35:52.971Z,4.3,480.7
 2019-08-01T00:45:04.698Z,3.39,477.8
 2019-08-01T00:54:16.426Z,4.9,493.7
 2019-08-01T01:03:28.154Z,4.19,482.8
 2019-08-01T01:12:39.881Z,2.27,522.4
 2019-08-01T01:21:51.608Z,2.23,528.3
 2019-08-01T01:31:03.336Z,2.04,537.8
 2019-08-01T01:40:15.063Z,2.07,549.1
 2019-08-01T01:49:26.790Z,2.14,523.6
 2019-08-01T01:58:38.517Z,1.96,523.7
 2019-08-01T02:07:50.244Z,2.03,523.9
 2019-08-01T02:17:01.971Z,1.91,537.9
 2019-08-01T02:26:13.697Z,1.79,536
 2019-08-01T02:35:25.424Z,1.66,533.4
 2019-08-01T02:44:37.151Z,1.91,518.5
 2019-08-01T02:53:48.878Z,1.93,519.2
 2019-08-01T03:03:00.604Z,1.85,520.7
 2019-08-01T03:12:12.331Z,2.03,519.3
 2019-08-01T03:21:24.058Z,1.89,513.6
 2019-08-01T03:30:35.785Z,1.96,514.8
 2019-08-01T03:39:47.511Z,1.52,545.7
 2019-08-01T03:48:59.238Z,1.68,545.9
 2019-08-01T03:58:10.964Z,1.75,538
 2019-08-01T04:07:22.691Z,1.87,550.8
 2019-08-01T04:16:34.417Z,1.95,553.6
 2019-08-01T04:25:46.143Z,1.86,557.1
 2019-08-01T04:34:57.869Z,1.74,546.8
 2019-08-01T04:44:09.595Z,1.77,541
 2019-08-01T04:53:21.321Z,1.84,539.2
 2019-08-01T05:02:33.047Z,1.79,530.4
 2019-08-01T05:11:44.773Z,1.83,545.1
 2019-08-01T05:20:56.499Z,1.63,537.7
 2019-08-01T05:30:08.225Z,1.92,538.1
 2019-08-01T05:39:19.951Z,1.88,545.9
 2019-08-01T05:48:31.677Z,1.86,544.5
 2019-08-01T05:57:43.403Z,1.86,542.1
 2019-08-01T06:06:55.129Z,1.89,548.2
 2019-08-01T06:16:06.855Z,1.91,536.2
 2019-08-01T06:25:18.580Z,1.97,544.6
 2019-08-01T06:34:30.306Z,1.81,537
 2019-08-01T06:43:42.032Z,1.72,524.5
 2019-08-01T06:52:53.757Z,1.93,530.2
 2019-08-01T07:02:05.483Z,1.96,529.4
 2019-08-01T07:11:17.208Z,1.9,529.6
 2019-08-01T07:20:28.933Z,1.72,538.5
 2019-08-01T07:29:40.659Z,1.78,535.4
 2019-08-01T07:38:52.384Z,1.79,530.7
 2019-08-01T07:48:04.109Z,1.78,524.5
 2019-08-01T07:57:15.834Z,1.71,534.8
 2019-08-01T08:06:27.559Z,1.88,521
 2019-08-01T08:16:09.457Z,1.81,524.1
 2019-08-01T08:18:27.388Z,2.09,520.5
 2019-08-01T08:20:45.319Z,2.02,526.8
 2019-08-01T08:23:03.250Z,1.9,532.1
 2019-08-01T08:25:21.182Z,1.97,519
 2019-08-01T08:27:39.113Z,1.92,515
 2019-08-01T08:29:57.044Z,1.73,518.6
 2019-08-01T08:32:14.975Z,1.91,522.5
 2019-08-01T08:34:32.907Z,1.87,519.6
 2019-08-01T08:36:50.838Z,1.8,524.5
 2019-08-01T08:39:08.769Z,1.96,535.8
 2019-08-01T08:41:26.701Z,1.76,533.8
 2019-08-01T08:43:44.632Z,1.74,536.5
 2019-08-01T08:46:02.563Z,1.65,543.8
 2019-08-01T08:48:20.495Z,1.88,545.8
 2019-08-01T08:50:38.426Z,1.88,543.3
 2019-08-01T08:52:56.357Z,1.96,547.5
 2019-08-01T08:55:14.289Z,1.78,546
 2019-08-01T08:57:32.220Z,1.82,539.2
 2019-08-01T08:59:50.151Z,1.85,532.8
 2019-08-01T09:02:08.082Z,1.74,539.4
 2019-08-01T09:04:26.014Z,1.67,543
 2019-08-01T09:06:43.945Z,1.71,531.6
 2019-08-01T09:09:01.876Z,1.68,550.9
 2019-08-01T09:11:19.808Z,1.65,547.4
 2019-08-01T09:13:37.739Z,1.7,542.1
 2019-08-01T09:15:55.670Z,1.74,533.7
 2019-08-01T09:18:13.601Z,1.96,527.6
 2019-08-01T09:20:31.533Z,1.84,534.5
 2019-08-01T09:22:49.464Z,1.54,537.1
 2019-08-01T09:25:07.395Z,1.79,538.1
 2019-08-01T09:27:25.327Z,2.02,524.4
 2019-08-01T09:29:43.258Z,2,534
 2019-08-01T09:32:01.189Z,2.09,532.2
 2019-08-01T09:34:19.120Z,2.01,535.3
 2019-08-01T09:36:37.052Z,2.03,534.4
 2019-08-01T09:38:54.983Z,1.92,536.6
 2019-08-01T09:41:12.914Z,1.95,534.5
 2019-08-01T09:43:30.845Z,1.96,529.5
 2019-08-01T09:45:48.777Z,1.94,531
 2019-08-01T09:48:06.708Z,1.94,529.1
 2019-08-01T09:50:24.639Z,1.91,531.5
 2019-08-01T09:52:42.570Z,1.83,546
 2019-08-01T09:55:00.502Z,1.89,531.8
 2019-08-01T09:57:18.433Z,1.94,527.7
 2019-08-01T09:59:36.364Z,1.95,525.8
 2019-08-01T10:01:54.295Z,2.1,513.7
