,EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,OMNILatDeg,OMNILonDeg,OMNIIonSpeedKM_S,OMNIIonDensityN_CC,EPOCH_TIME__yyyy-mm-ddThh:mm:ss.sssZ,ArtemisIonDensityN_CC,ArtemisIonSpeedKM_S,ArtemisDistanceAU,ArtemisLatDeg,ArtemisLonDeg,new_time,Time_offset_hours
2,2019-08-02 01:00:00+00:00,5.7,232.1,489.0,2.5,2019-08-02 02:00:00+00:00,1.8050000000000002,469.29999999999995,1.01,5.8,233.2,2019-08-02 01:00:00+00:00,1
3,2019-08-02 02:00:00+00:00,5.7,232.1,489.0,2.2,2019-08-02 03:00:00+00:00,1.6585714285714286,465.64285714285705,1.01,5.799999999999999,233.20000000000002,2019-08-02 02:00:00+00:00,1
4,2019-08-02 03:00:00+00:00,5.7,232.1,470.0,1.9,2019-08-02 04:00:00+00:00,1.6449999999999998,466.88333333333327,1.01,5.8,233.20000000000002,2019-08-02 03:00:00+00:00,1
5,2019-08-02 04:00:00+00:00,5.7,232.2,474.0,2.0,2019-08-02 05:00:00+00:00,1.6871428571428573,468.68571428571425,1.01,5.799999999999999,233.20000000000002,2019-08-02 04:00:00+00:00,1
6,2019-08-02 05:00:00+00:00,5.7,232.2,478.0,1.9,2019-08-02 06:00:00+00:00,1.7128571428571426,463.84285714285716,1.01,5.799999999999999,233.20000000000002,2019-08-02 05:00:00+00:00,1
7,2019-08-02 06:00:00+00:00,5.7,232.3,478.0,1.9,2019-08-02 07:00:00+00:00,1.7083333333333333,459.48333333333335,1.01,5.8,233.20000000000002,2019-08-02 06:00:00+00:00,1
8,2019-08-02 07:00:00+00:00,5.7,232.3,469.0,1.9,2019-08-02 08:00:00+00:00,1.9414285714285715,449.90000000000003,1.01,5.799999999999999,233.20000000000002,2019-08-02 07:00:00+00:00,1
9,2019-08-02 08:00:00+00:00,5.8,232.3,456.0,2.3,2019-08-02 09:00:00+00:00,1.9066666666666665,449.56666666666666,1.01,5.8,233.20000000000002,2019-08-02 08:00:00+00:00,1
10,2019-08-02 09:00:00+00:00,5.8,232.4,456.0,2.1,2019-08-02 10:00:00+00:00,1.4157142857142857,452.64285714285705,1.01,5.799999999999999,233.20000000000002,2019-08-02 09:00:00+00:00,1
11,2019-08-02 10:00:00+00:00,5.8,232.4,470.0,1.4,2019-08-02 11:00:00+00:00,1.7149999999999999,438.8928571428572,1.01,5.799999999999998,233.19999999999996,2019-08-02 10:00:00+00:00,1
12,2019-08-02 11:00:00+00:00,5.8,232.5,457.0,1.9,2019-08-02 12:00:00+00:00,1.86,433.2800000000001,1.0100000000000007,5.799999999999999,233.1999999999999,2019-08-02 11:00:00+00:00,1
13,2019-08-02 12:00:00+00:00,5.8,232.5,443.0,2.4,2019-08-02 13:00:00+00:00,2.055,425.6884615384615,1.0100000000000007,5.799999999999999,233.19999999999987,2019-08-02 12:00:00+00:00,1
14,2019-08-02 13:00:00+00:00,5.8,232.5,433.0,3.3,2019-08-02 14:00:00+00:00,2.980384615384615,417.7538461538461,1.0100000000000007,5.799999999999999,233.19999999999987,2019-08-02 13:00:00+00:00,1
15,2019-08-02 14:00:00+00:00,5.8,232.6,427.0,5.1,2019-08-02 15:00:00+00:00,3.12076923076923,413.55769230769226,1.0100000000000007,5.799999999999999,233.19999999999987,2019-08-02 14:00:00+00:00,1
16,2019-08-02 15:00:00+00:00,5.8,232.6,424.0,5.5,2019-08-02 16:00:00+00:00,3.492307692307693,409.86153846153843,1.0100000000000007,5.799999999999999,233.19999999999987,2019-08-02 15:00:00+00:00,1
17,2019-08-02 16:00:00+00:00,5.8,232.7,421.0,5.7,2019-08-02 17:00:00+00:00,3.7369230769230772,404.7153846153846,1.0100000000000007,5.799999999999999,233.19999999999987,2019-08-02 16:00:00+00:00,1
18,2019-08-02 17:00:00+00:00,5.8,232.7,417.0,5.7,2019-08-02 18:00:00+00:00,4.074999999999999,394.20000000000005,1.0100000000000002,5.799999999999998,233.19999999999993,2019-08-02 17:00:00+00:00,1
27,2019-08-03 02:00:00+00:00,5.8,233.1,388.0,4.1,2019-08-03 03:00:00+00:00,2.9066666666666663,374.3333333333333,1.01,5.900000000000001,234.1,2019-08-03 02:00:00+00:00,1
28,2019-08-03 03:00:00+00:00,5.8,233.1,386.0,4.0,2019-08-03 04:00:00+00:00,3.0085714285714285,379.2,1.01,5.8999999999999995,234.09999999999997,2019-08-03 03:00:00+00:00,1
29,2019-08-03 04:00:00+00:00,5.8,233.1,386.0,3.7,2019-08-03 05:00:00+00:00,2.856666666666667,378.56666666666666,1.01,5.8999999999999995,234.1,2019-08-03 04:00:00+00:00,1
30,2019-08-03 05:00:00+00:00,5.8,233.2,384.0,3.7,2019-08-03 06:00:00+00:00,2.814285714285714,376.85714285714295,1.01,5.8999999999999995,234.09999999999997,2019-08-03 05:00:00+00:00,1
31,2019-08-03 06:00:00+00:00,5.8,233.2,383.0,3.6,2019-08-03 07:00:00+00:00,2.8285714285714287,374.75714285714287,1.01,5.8999999999999995,234.09999999999997,2019-08-03 06:00:00+00:00,1
32,2019-08-03 07:00:00+00:00,5.8,233.3,380.0,3.6,2019-08-03 08:00:00+00:00,2.8033333333333332,372.4166666666667,1.01,5.8999999999999995,234.1,2019-08-03 07:00:00+00:00,1
33,2019-08-03 08:00:00+00:00,5.8,233.3,377.0,3.8,2019-08-03 09:00:00+00:00,2.985714285714286,372.7857142857143,1.01,5.8999999999999995,234.09999999999997,2019-08-03 08:00:00+00:00,1
34,2019-08-03 09:00:00+00:00,5.8,233.3,379.0,3.6,2019-08-03 10:00:00+00:00,3.213333333333333,366.90000000000003,1.01,5.8999999999999995,234.1,2019-08-03 09:00:00+00:00,1
35,2019-08-03 10:00:00+00:00,5.8,233.4,375.0,3.9,2019-08-03 11:00:00+00:00,3.2542857142857144,361.05714285714294,1.01,5.8999999999999995,234.09999999999997,2019-08-03 10:00:00+00:00,1
36,2019-08-03 11:00:00+00:00,5.8,233.4,369.0,4.2,2019-08-03 12:00:00+00:00,3.22,357.8,1.01,5.8999999999999995,234.1,2019-08-03 11:00:00+00:00,1
