EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,RAD_AU_AU,HGI_LAT_deg,HGI_LON_deg
 2015-08-01T00:00:00.000Z,1.61,-2.1,30.2
 2015-08-02T00:00:00.000Z,1.61,-2.2,30.7
 2015-08-03T00:00:00.000Z,1.61,-2.2,31.2
 2015-08-04T00:00:00.000Z,1.61,-2.2,31.6
 2015-08-05T00:00:00.000Z,1.61,-2.3,32.1
 2015-08-06T00:00:00.000Z,1.61,-2.3,32.6
 2015-08-07T00:00:00.000Z,1.61,-2.4,33
 2015-08-08T00:00:00.000Z,1.61,-2.4,33.5
 2015-08-09T00:00:00.000Z,1.61,-2.4,34
 2015-08-10T00:00:00.000Z,1.62,-2.5,34.4
 2015-08-11T00:00:00.000Z,1.62,-2.5,34.9
 2015-08-12T00:00:00.000Z,1.62,-2.6,35.4
 2015-08-13T00:00:00.000Z,1.62,-2.6,35.8
 2015-08-14T00:00:00.000Z,1.62,-2.7,36.3
 2015-08-15T00:00:00.000Z,1.62,-2.7,36.7
 2015-08-16T00:00:00.000Z,1.62,-2.7,37.2
 2015-08-17T00:00:00.000Z,1.62,-2.8,37.7
 2015-08-18T00:00:00.000Z,1.62,-2.8,38.1
 2015-08-19T00:00:00.000Z,1.62,-2.8,38.6
 2015-08-20T00:00:00.000Z,1.62,-2.9,39
 2015-08-21T00:00:00.000Z,1.62,-2.9,39.5
 2015-08-22T00:00:00.000Z,1.63,-3,39.9
 2015-08-23T00:00:00.000Z,1.63,-3,40.4
 2015-08-24T00:00:00.000Z,1.63,-3,40.9
 2015-08-25T00:00:00.000Z,1.63,-3.1,41.3
 2015-08-26T00:00:00.000Z,1.63,-3.1,41.8
 2015-08-27T00:00:00.000Z,1.63,-3.2,42.2
 2015-08-28T00:00:00.000Z,1.63,-3.2,42.7
 2015-08-29T00:00:00.000Z,1.63,-3.2,43.1
 2015-08-30T00:00:00.000Z,1.63,-3.3,43.6
 2015-08-31T00:00:00.000Z,1.63,-3.3,44
 2015-09-01T00:00:00.000Z,1.63,-3.3,44.5
