EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,RAD_AU_AU,HGI_LAT_deg,HGI_LON_deg
 2015-01-01T00:00:00.000Z,1.38,5.6,272.8
 2015-01-02T00:00:00.000Z,1.38,5.6,273.4
 2015-01-03T00:00:00.000Z,1.38,5.6,274.1
 2015-01-04T00:00:00.000Z,1.38,5.6,274.7
 2015-01-05T00:00:00.000Z,1.39,5.6,275.3
 2015-01-06T00:00:00.000Z,1.39,5.6,276
 2015-01-07T00:00:00.000Z,1.39,5.6,276.6
 2015-01-08T00:00:00.000Z,1.39,5.6,277.2
 2015-01-09T00:00:00.000Z,1.39,5.6,277.9
 2015-01-10T00:00:00.000Z,1.39,5.6,278.5
 2015-01-11T00:00:00.000Z,1.39,5.6,279.1
 2015-01-12T00:00:00.000Z,1.39,5.6,279.8
 2015-01-13T00:00:00.000Z,1.39,5.6,280.4
 2015-01-14T00:00:00.000Z,1.39,5.6,281
 2015-01-15T00:00:00.000Z,1.39,5.6,281.6
 2015-01-16T00:00:00.000Z,1.39,5.6,282.3
 2015-01-17T00:00:00.000Z,1.39,5.6,282.9
 2015-01-18T00:00:00.000Z,1.39,5.6,283.5
 2015-01-19T00:00:00.000Z,1.39,5.6,284.2
 2015-01-20T00:00:00.000Z,1.39,5.6,284.8
 2015-01-21T00:00:00.000Z,1.39,5.6,285.4
 2015-01-22T00:00:00.000Z,1.39,5.6,286.1
 2015-01-23T00:00:00.000Z,1.39,5.6,286.7
 2015-01-24T00:00:00.000Z,1.39,5.6,287.3
 2015-01-25T00:00:00.000Z,1.39,5.6,287.9
 2015-01-26T00:00:00.000Z,1.4,5.5,288.6
 2015-01-27T00:00:00.000Z,1.4,5.5,289.2
 2015-01-28T00:00:00.000Z,1.4,5.5,289.8
 2015-01-29T00:00:00.000Z,1.4,5.5,290.4
 2015-01-30T00:00:00.000Z,1.4,5.5,291.1
 2015-01-31T00:00:00.000Z,1.4,5.5,291.7
 2015-02-01T00:00:00.000Z,1.4,5.5,292.3
 2015-02-02T00:00:00.000Z,1.4,5.5,292.9
 2015-02-03T00:00:00.000Z,1.4,5.4,293.5
 2015-02-04T00:00:00.000Z,1.4,5.4,294.2
 2015-02-05T00:00:00.000Z,1.4,5.4,294.8
 2015-02-06T00:00:00.000Z,1.4,5.4,295.4
 2015-02-07T00:00:00.000Z,1.4,5.4,296
 2015-02-08T00:00:00.000Z,1.4,5.4,296.6
 2015-02-09T00:00:00.000Z,1.41,5.3,297.2
 2015-02-10T00:00:00.000Z,1.41,5.3,297.9
 2015-02-11T00:00:00.000Z,1.41,5.3,298.5
 2015-02-12T00:00:00.000Z,1.41,5.3,299.1
 2015-02-13T00:00:00.000Z,1.41,5.3,299.7
 2015-02-14T00:00:00.000Z,1.41,5.2,300.3
 2015-02-15T00:00:00.000Z,1.41,5.2,300.9
 2015-02-16T00:00:00.000Z,1.41,5.2,301.5
 2015-02-17T00:00:00.000Z,1.41,5.2,302.1
 2015-02-18T00:00:00.000Z,1.41,5.1,302.8
 2015-02-19T00:00:00.000Z,1.41,5.1,303.4
 2015-02-20T00:00:00.000Z,1.41,5.1,304
 2015-02-21T00:00:00.000Z,1.42,5.1,304.6
 2015-02-22T00:00:00.000Z,1.42,5,305.2
 2015-02-23T00:00:00.000Z,1.42,5,305.8
 2015-02-24T00:00:00.000Z,1.42,5,306.4
 2015-02-25T00:00:00.000Z,1.42,4.9,307
 2015-02-26T00:00:00.000Z,1.42,4.9,307.6
 2015-02-27T00:00:00.000Z,1.42,4.9,308.2
 2015-02-28T00:00:00.000Z,1.42,4.9,308.8
 2015-03-01T00:00:00.000Z,1.42,4.8,309.4
