EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,OMNI_LAT_deg,OMNI_LONG_deg,OMNI_MAG_AVG_nT,OMNI_SPEED_kms,OMNI_DENSITY_Ncc
 2018-01-01T00:00:00.000Z,-2.9,23.2,8.2,381,13.8
 2018-01-01T01:00:00.000Z,-2.9,23.2,10.8,406,16.8
 2018-01-01T02:00:00.000Z,-2.9,23.3,10,392,17.7
 2018-01-01T03:00:00.000Z,-2.9,23.3,10.9,396,22.4
 2018-01-01T04:00:00.000Z,-2.9,23.3,11,416,19
 2018-01-01T05:00:00.000Z,-2.9,23.4,8.3,441,10.1
 2018-01-01T06:00:00.000Z,-2.9,23.4,6.1,429,9.3
 2018-01-01T07:00:00.000Z,-2.9,23.5,6.8,436,9
 2018-01-01T08:00:00.000Z,-2.9,23.5,7.8,446,7.8
 2018-01-01T09:00:00.000Z,-2.9,23.6,7.7,437,7.6
 2018-01-01T10:00:00.000Z,-2.9,23.6,7,433,7.2
 2018-01-01T11:00:00.000Z,-2.9,23.6,6.2,429,6.3
 2018-01-01T12:00:00.000Z,-2.9,23.7,6.8,438,6.1
 2018-01-01T13:00:00.000Z,-2.9,23.7,6.6,439,5.8
 2018-01-01T14:00:00.000Z,-2.9,23.8,6.3,453,3.9
 2018-01-01T15:00:00.000Z,-2.9,23.8,5.5,467,3.4
 2018-01-01T16:00:00.000Z,-2.9,23.9,4.9,472,3.3
 2018-01-01T17:00:00.000Z,-3,23.9,4.8,472,3.6
 2018-01-01T18:00:00.000Z,-3,23.9,4.8,464,3.8
 2018-01-01T19:00:00.000Z,-3,24,4.9,460,3.9
 2018-01-01T20:00:00.000Z,-3,24,4.8,454,4
 2018-01-01T21:00:00.000Z,-3,24.1,5.2,446,4
 2018-01-01T22:00:00.000Z,-3,24.1,5.1,434,4.4
 2018-01-01T23:00:00.000Z,-3,24.2,4.7,429,4.6
 2018-01-02T00:00:00.000Z,-3,24.2,4.4,431,5
 2018-01-02T01:00:00.000Z,-3,24.2,4.5,420,6.2
 2018-01-02T02:00:00.000Z,-3,24.3,3.8,415,7.7
 2018-01-02T03:00:00.000Z,-3,24.3,3.9,413,8.2
 2018-01-02T04:00:00.000Z,-3,24.4,3.2,410,7.5
 2018-01-02T05:00:00.000Z,-3,24.4,2,414,6.5
 2018-01-02T06:00:00.000Z,-3,24.4,3.1,416,5.5
 2018-01-02T07:00:00.000Z,-3,24.5,3.1,412,5.4
 2018-01-02T08:00:00.000Z,-3,24.5,3.4,409,6.1
 2018-01-02T09:00:00.000Z,-3,24.6,3.9,407,6.6
 2018-01-02T10:00:00.000Z,-3,24.6,4,417,6.5
 2018-01-02T11:00:00.000Z,-3,24.7,4.2,430,6.5
 2018-01-02T12:00:00.000Z,-3,24.7,5.4,436,6.1
 2018-01-02T13:00:00.000Z,-3,24.7,4.4,418,7.4
 2018-01-02T14:00:00.000Z,-3.1,24.8,4.6,413,7.5
 2018-01-02T15:00:00.000Z,-3.1,24.8,4,414,7.5
 2018-01-02T16:00:00.000Z,-3.1,24.9,4.1,414,8.1
 2018-01-02T17:00:00.000Z,-3.1,24.9,4.5,410,7.8
 2018-01-02T18:00:00.000Z,-3.1,25,4.8,416,6.3
 2018-01-02T19:00:00.000Z,-3.1,25,4.6,411,7.1
 2018-01-02T20:00:00.000Z,-3.1,25,3.8,411,7.7
 2018-01-02T21:00:00.000Z,-3.1,25.1,3.4,406,8.6
 2018-01-02T22:00:00.000Z,-3.1,25.1,3.5,398,7.8
 2018-01-02T23:00:00.000Z,-3.1,25.2,2.8,398,8.4
 2018-01-03T00:00:00.000Z,-3.1,25.2,3.6,392,8.5
 2018-01-03T01:00:00.000Z,-3.1,25.2,3.9,393,9.2
 2018-01-03T02:00:00.000Z,-3.1,25.3,4,387,11.1
 2018-01-03T03:00:00.000Z,-3.1,25.3,3,379,13.3
 2018-01-03T04:00:00.000Z,-3.1,25.4,3.4,377,13.5
 2018-01-03T05:00:00.000Z,-3.1,25.4,3.2,369,13
 2018-01-03T06:00:00.000Z,-3.1,25.5,2.9,362,13.7
 2018-01-03T07:00:00.000Z,-3.1,25.5,3.2,360,12
 2018-01-03T08:00:00.000Z,-3.1,25.5,4,364,9.1
 2018-01-03T09:00:00.000Z,-3.1,25.6,5.2,365,7.1
 2018-01-03T10:00:00.000Z,-3.1,25.6,4.5,364,7.8
 2018-01-03T11:00:00.000Z,-3.2,25.7,5.5,363,9.1
 2018-01-03T12:00:00.000Z,-3.2,25.7,4.4,367,10.7
 2018-01-03T13:00:00.000Z,-3.2,25.8,3.9,370,10.7
