EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,OMNI_LAT_deg,OMNI_LONG_deg,OMNI_MAG_AVG_nT,OMNI_SPEED_kms,OMNI_DENSITY_Ncc
 2017-01-01T01:00:00.000Z,-2.9,23.5,6.5,556,6.8
 2017-01-01T02:00:00.000Z,-2.9,23.5,5.8,552,6.3
 2017-01-01T03:00:00.000Z,-2.9,23.6,6.2,539,5
 2017-01-01T04:00:00.000Z,-2.9,23.6,6.7,543,5.9
 2017-01-01T05:00:00.000Z,-2.9,23.7,5.6,542,5
 2017-01-01T06:00:00.000Z,-2.9,23.7,5,527,4.4
 2017-01-01T07:00:00.000Z,-2.9,23.8,4.5,533,4.7
 2017-01-01T08:00:00.000Z,-2.9,23.8,5.1,530,5.1
 2017-01-01T09:00:00.000Z,-2.9,23.8,3.4,518,5.9
 2017-01-01T10:00:00.000Z,-2.9,23.9,4,513,5.7
 2017-01-01T11:00:00.000Z,-3,23.9,4.9,518,5.7
 2017-01-01T12:00:00.000Z,-3,24,4.2,515,6
 2017-01-01T13:00:00.000Z,-3,24,3.7,514,6
 2017-01-01T14:00:00.000Z,-3,24,4.7,511,5.3
 2017-01-01T15:00:00.000Z,-3,24.1,4.6,501,5.6
 2017-01-01T16:00:00.000Z,-3,24.1,4.1,494,5.6
 2017-01-01T17:00:00.000Z,-3,24.2,3.7,485,5.6
 2017-01-01T18:00:00.000Z,-3,24.2,3.4,481,5
 2017-01-01T19:00:00.000Z,-3,24.3,3.4,477,5.3
 2017-01-01T20:00:00.000Z,-3,24.3,3.1,477,5.2
 2017-01-01T21:00:00.000Z,-3,24.3,3.5,476,5.2
 2017-01-01T22:00:00.000Z,-3,24.4,3.9,462,5.3
 2017-01-01T23:00:00.000Z,-3,24.4,4,465,5.1
 2017-01-02T00:00:00.000Z,-3,24.5,3.1,468,5
 2017-01-02T01:00:00.000Z,-3,24.5,2.2,463,4.6
 2017-01-02T02:00:00.000Z,-3,24.6,2.3,447,4
 2017-01-02T03:00:00.000Z,-3,24.6,3.1,427,4.3
 2017-01-02T04:00:00.000Z,-3,24.6,3.1,431,4.8
 2017-01-02T05:00:00.000Z,-3,24.7,3.2,426,5.5
 2017-01-02T06:00:00.000Z,-3,24.7,3.5,418,5.8
 2017-01-02T07:00:00.000Z,-3.1,24.8,3.6,413,5.7
 2017-01-02T08:00:00.000Z,-3.1,24.8,3.4,396,5.9
 2017-01-02T09:00:00.000Z,-3.1,24.9,3.3,392,5.6
 2017-01-02T10:00:00.000Z,-3.1,24.9,3.5,399,5.4
 2017-01-02T11:00:00.000Z,-3.1,24.9,4.3,401,5.9
 2017-01-02T12:00:00.000Z,-3.1,25,4.7,397,6.5
 2017-01-02T13:00:00.000Z,-3.1,25,5.4,397,5.7
 2017-01-02T14:00:00.000Z,-3.1,25.1,4.7,393,7.2
 2017-01-02T15:00:00.000Z,-3.1,25.1,4.4,390,7.1
 2017-01-02T16:00:00.000Z,-3.1,25.1,4.8,386,6.3
 2017-01-02T17:00:00.000Z,-3.1,25.2,5.1,381,6.2
 2017-01-02T18:00:00.000Z,-3.1,25.2,5.1,378,7.2
 2017-01-02T19:00:00.000Z,-3.1,25.3,5.5,371,7.1
 2017-01-02T20:00:00.000Z,-3.1,25.3,6.9,382,6.6
 2017-01-02T21:00:00.000Z,-3.1,25.4,7,385,8.4
 2017-01-02T22:00:00.000Z,-3.1,25.4,7.4,389,6.3
 2017-01-02T23:00:00.000Z,-3.1,25.4,6.6,377,8.1
 2017-01-03T00:00:00.000Z,-3.1,25.5,6.4,368,8.3
 2017-01-03T01:00:00.000Z,-3.1,25.5,6.5,373,7.7
 2017-01-03T02:00:00.000Z,-3.1,25.6,6.2,373,8.3
 2017-01-03T03:00:00.000Z,-3.1,25.6,5.5,380,9.6
 2017-01-03T04:00:00.000Z,-3.2,25.7,5.6,374,12.1
 2017-01-03T05:00:00.000Z,-3.2,25.7,5.7,378,16.5
 2017-01-03T06:00:00.000Z,-3.2,25.7,7.3,390,22.6
 2017-01-03T07:00:00.000Z,-3.2,25.8,5.6,389,28.4
 2017-01-03T08:00:00.000Z,-3.2,25.8,9.2,413,20.6
 2017-01-03T09:00:00.000Z,-3.2,25.9,10.5,447,13.8
 2017-01-03T10:00:00.000Z,-3.2,25.9,6.7,470,13.9
 2017-01-03T11:00:00.000Z,-3.2,25.9,5.2,466,12.4
 2017-01-03T12:00:00.000Z,-3.2,26,6.2,475,10.7
 2017-01-03T13:00:00.000Z,-3.2,26,8.3,501,9.4
 2017-01-03T14:00:00.000Z,-3.2,26.1,8.2,508,8.3
 2017-01-03T15:00:00.000Z,-3.2,26.1,7.8,514,6.6
 2017-01-03T16:00:00.000Z,-3.2,26.2,7.2,523,5.5
 2017-01-03T17:00:00.000Z,-3.2,26.2,7.6,490,5.4
 2017-01-03T18:00:00.000Z,-3.2,26.2,7.4,469,6.3
 2017-01-03T19:00:00.000Z,-3.2,26.3,8.2,451,6.5
 2017-01-03T20:00:00.000Z,-3.2,26.3,9,448,6
 2017-01-03T21:00:00.000Z,-3.2,26.4,8.5,431,6.2
 2017-01-03T22:00:00.000Z,-3.2,26.4,8.1,409,7
 2017-01-03T23:00:00.000Z,-3.2,26.5,7.7,406,7.7
 2017-01-04T00:00:00.000Z,-3.2,26.5,7.5,414,9.5
 2017-01-04T01:00:00.000Z,-3.3,26.5,7.3,409,10.8
 2017-01-04T02:00:00.000Z,-3.3,26.6,7.3,409,12.1
 2017-01-04T03:00:00.000Z,-3.3,26.6,7.4,404,13.9
 2017-01-04T04:00:00.000Z,-3.3,26.7,7,388,23.2
 2017-01-04T05:00:00.000Z,-3.3,26.7,11.3,391,29.6
 2017-01-04T06:00:00.000Z,-3.3,26.8,13.9,393,15.7
 2017-01-04T07:00:00.000Z,-3.3,26.8,11.9,432,9
 2017-01-04T08:00:00.000Z,-3.3,26.8,11.8,451,5.9
 2017-01-04T09:00:00.000Z,-3.3,26.9,9.7,460,7.2
 2017-01-04T10:00:00.000Z,-3.3,26.9,9.9,467,6.5
 2017-01-04T11:00:00.000Z,-3.3,27,9.9,494,5.5
 2017-01-04T12:00:00.000Z,-3.3,27,10.4,507,5.6
 2017-01-04T13:00:00.000Z,-3.3,27,11.5,489,5.6
 2017-01-04T14:00:00.000Z,-3.3,27.1,10.1,502,7.1
 2017-01-04T15:00:00.000Z,-3.3,27.1,8.7,511,7.5
 2017-01-04T16:00:00.000Z,-3.3,27.2,7.8,503,6.4
 2017-01-04T17:00:00.000Z,-3.3,27.2,7,504,7.4
 2017-01-04T18:00:00.000Z,-3.3,27.3,6.5,500,6.9
 2017-01-04T19:00:00.000Z,-3.3,27.3,5.9,504,6.9
 2017-01-04T20:00:00.000Z,-3.3,27.3,7.4,490,6.2
 2017-01-04T21:00:00.000Z,-3.3,27.4,8.4,487,5.3
 2017-01-04T22:00:00.000Z,-3.4,27.4,8.7,497,5.7
 2017-01-04T23:00:00.000Z,-3.4,27.5,8.9,501,5.3
 2017-01-05T00:00:00.000Z,-3.4,27.5,8.5,506,5.2
 2017-01-05T01:00:00.000Z,-3.4,27.6,8.9,512,5.8
 2017-01-05T02:00:00.000Z,-3.4,27.6,9.2,514,7
 2017-01-05T03:00:00.000Z,-3.4,27.6,9.7,512,7.6
 2017-01-05T04:00:00.000Z,-3.4,27.7,7.4,534,10
 2017-01-05T05:00:00.000Z,-3.4,27.7,6,535,10.4
 2017-01-05T06:00:00.000Z,-3.4,27.8,5.8,518,8.7
 2017-01-05T07:00:00.000Z,-3.4,27.8,6.4,498,6.6
 2017-01-05T08:00:00.000Z,-3.4,27.9,5.9,517,4
 2017-01-05T09:00:00.000Z,-3.4,27.9,6.9,525,3.9
 2017-01-05T10:00:00.000Z,-3.4,27.9,6.4,577,3.2
 2017-01-05T11:00:00.000Z,-3.4,28,5.8,579,4.4
 2017-01-05T12:00:00.000Z,-3.4,28,8,618,6
 2017-01-05T13:00:00.000Z,-3.4,28.1,7.2,643,6.5
 2017-01-05T14:00:00.000Z,-3.4,28.1,8.5,688,4
 2017-01-05T15:00:00.000Z,-3.4,28.1,9.8,717,5.6
 2017-01-05T16:00:00.000Z,-3.4,28.2,9.6,704,7.2
 2017-01-05T17:00:00.000Z,-3.4,28.2,9.7,690,7.4
 2017-01-05T18:00:00.000Z,-3.4,28.3,9.3,676,7.5
 2017-01-05T19:00:00.000Z,-3.5,28.3,9.4,684,5.5
 2017-01-05T20:00:00.000Z,-3.5,28.4,9.9,662,5.3
 2017-01-05T21:00:00.000Z,-3.5,28.4,9.5,649,5
 2017-01-05T22:00:00.000Z,-3.5,28.4,8.6,689,3.5
 2017-01-05T23:00:00.000Z,-3.5,28.5,5.2,702,2.1
 2017-01-06T00:00:00.000Z,-3.5,28.5,5,706,2.3
 2017-01-06T01:00:00.000Z,-3.5,28.6,4.3,712,2.6
 2017-01-06T02:00:00.000Z,-3.5,28.6,4.3,731,2.7
 2017-01-06T03:00:00.000Z,-3.5,28.7,4.4,720,2.7
 2017-01-06T04:00:00.000Z,-3.5,28.7,4.7,744,2.7
 2017-01-06T05:00:00.000Z,-3.5,28.7,4.6,707,2.5
 2017-01-06T06:00:00.000Z,-3.5,28.8,4.3,704,2.4
 2017-01-06T07:00:00.000Z,-3.5,28.8,4.6,697,2.5
 2017-01-06T08:00:00.000Z,-3.5,28.9,4.9,676,2.3
