EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,HELIOGRAPHIC_LATITUDE_deg,HELIOGRAPHIC_LONGITUDE_deg,BULK_FLOW_SPEED_km/s,ION_DENSITY_N/cm3
 2019-08-01T23:00:00.000Z,5.7,232,492,3
 2019-08-02T00:00:00.000Z,5.7,232,493,2.8
 2019-08-02T01:00:00.000Z,5.7,232.1,489,2.5
 2019-08-02T02:00:00.000Z,5.7,232.1,489,2.2
 2019-08-02T03:00:00.000Z,5.7,232.1,470,1.9
 2019-08-02T04:00:00.000Z,5.7,232.2,474,2
 2019-08-02T05:00:00.000Z,5.7,232.2,478,1.9
 2019-08-02T06:00:00.000Z,5.7,232.3,478,1.9
 2019-08-02T07:00:00.000Z,5.7,232.3,469,1.9
 2019-08-02T08:00:00.000Z,5.8,232.3,456,2.3
 2019-08-02T09:00:00.000Z,5.8,232.4,456,2.1
 2019-08-02T10:00:00.000Z,5.8,232.4,470,1.4
 2019-08-02T11:00:00.000Z,5.8,232.5,457,1.9
 2019-08-02T12:00:00.000Z,5.8,232.5,443,2.4
 2019-08-02T13:00:00.000Z,5.8,232.5,433,3.3
 2019-08-02T14:00:00.000Z,5.8,232.6,427,5.1
 2019-08-02T15:00:00.000Z,5.8,232.6,424,5.5
 2019-08-02T16:00:00.000Z,5.8,232.7,421,5.7
 2019-08-02T17:00:00.000Z,5.8,232.7,417,5.7
 2019-08-02T18:00:00.000Z,5.8,232.7,411,6
 2019-08-02T19:00:00.000Z,5.8,232.8,408,5.7
 2019-08-02T20:00:00.000Z,5.8,232.8,410,5.4
 2019-08-02T21:00:00.000Z,5.8,232.9,406,6.5
 2019-08-02T22:00:00.000Z,5.8,232.9,401,6.6
 2019-08-02T23:00:00.000Z,5.8,232.9,396,5.3
 2019-08-03T00:00:00.000Z,5.8,233,394,5.3
 2019-08-03T01:00:00.000Z,5.8,233,392,4.2
 2019-08-03T02:00:00.000Z,5.8,233.1,388,4.1
 2019-08-03T03:00:00.000Z,5.8,233.1,386,4
 2019-08-03T04:00:00.000Z,5.8,233.1,386,3.7
 2019-08-03T05:00:00.000Z,5.8,233.2,384,3.7
 2019-08-03T06:00:00.000Z,5.8,233.2,383,3.6
 2019-08-03T07:00:00.000Z,5.8,233.3,380,3.6
 2019-08-03T08:00:00.000Z,5.8,233.3,377,3.8
 2019-08-03T09:00:00.000Z,5.8,233.3,379,3.6
 2019-08-03T10:00:00.000Z,5.8,233.4,375,3.9
 2019-08-03T11:00:00.000Z,5.8,233.4,369,4.2
 2019-08-03T12:00:00.000Z,5.8,233.5,365,4.1
 2019-08-03T13:00:00.000Z,5.8,233.5,366,4.2
 2019-08-03T14:00:00.000Z,5.8,233.5,364,4.2
 2019-08-03T15:00:00.000Z,5.8,233.6,364,4.5
 2019-08-03T16:00:00.000Z,5.8,233.6,366,4.6
 2019-08-03T17:00:00.000Z,5.9,233.7,364,4.7
 2019-08-03T18:00:00.000Z,5.9,233.7,359,4.9
 2019-08-03T19:00:00.000Z,5.9,233.7,357,5
 2019-08-03T20:00:00.000Z,5.9,233.8,355,5.1
 2019-08-03T21:00:00.000Z,5.9,233.8,352,5.4
 2019-08-03T22:00:00.000Z,5.9,233.9,350,6.2
 2019-08-03T23:00:00.000Z,5.9,233.9,345,6.2
 2019-08-04T00:00:00.000Z,5.9,233.9,343,6.5
 2019-08-04T01:00:00.000Z,5.9,234,344,6.7
 2019-08-04T02:00:00.000Z,5.9,234,348,7.2
 2019-08-04T03:00:00.000Z,5.9,234.1,349,8.1
 2019-08-04T04:00:00.000Z,5.9,234.1,345,7.2
 2019-08-04T05:00:00.000Z,5.9,234.1,342,6.6
 2019-08-04T06:00:00.000Z,5.9,234.2,342,6.6
 2019-08-04T07:00:00.000Z,5.9,234.2,345,7.6
 2019-08-04T08:00:00.000Z,5.9,234.3,369,16.8
 2019-08-04T09:00:00.000Z,5.9,234.3,368,12
 2019-08-04T10:00:00.000Z,5.9,234.3,356,12.5
 2019-08-04T11:00:00.000Z,5.9,234.4,353,8.5
 2019-08-04T12:00:00.000Z,5.9,234.4,345,6.7
 2019-08-04T13:00:00.000Z,5.9,234.5,345,7.2
 2019-08-04T14:00:00.000Z,5.9,234.5,345,7.8
 2019-08-04T15:00:00.000Z,5.9,234.5,343,8.8
 2019-08-04T16:00:00.000Z,5.9,234.6,344,11
 2019-08-04T17:00:00.000Z,5.9,234.6,338,13.2
 2019-08-04T18:00:00.000Z,5.9,234.7,334,12.8
 2019-08-04T19:00:00.000Z,5.9,234.7,330,13.4
 2019-08-04T20:00:00.000Z,5.9,234.7,329,11.7
 2019-08-04T21:00:00.000Z,5.9,234.8,329,13
 2019-08-04T22:00:00.000Z,5.9,234.8,327,14.4
 2019-08-04T23:00:00.000Z,5.9,234.9,322,14.8
 2019-08-05T00:00:00.000Z,5.9,234.9,324,21.7
 2019-08-05T01:00:00.000Z,5.9,234.9,324,22.2
 2019-08-05T02:00:00.000Z,5.9,235,345,21.9
 2019-08-05T03:00:00.000Z,6,235,387,23.6
 2019-08-05T04:00:00.000Z,6,235.1,451,18
 2019-08-05T05:00:00.000Z,6,235.1,453,15.4
 2019-08-05T06:00:00.000Z,6,235.1,486,19.9
 2019-08-05T07:00:00.000Z,6,235.2,489,19.1
 2019-08-05T08:00:00.000Z,6,235.2,512,19.3
 2019-08-05T09:00:00.000Z,6,235.3,539,14
 2019-08-05T10:00:00.000Z,6,235.3,597,11.5
 2019-08-05T11:00:00.000Z,6,235.3,632,8
 2019-08-05T12:00:00.000Z,6,235.4,633,7.2
 2019-08-05T13:00:00.000Z,6,235.4,667,6.6
 2019-08-05T14:00:00.000Z,6,235.5,653,5.2
 2019-08-05T15:00:00.000Z,6,235.5,667,5.2
 2019-08-05T16:00:00.000Z,6,235.5,667,5.6
 2019-08-05T17:00:00.000Z,6,235.6,670,5
 2019-08-05T18:00:00.000Z,6,235.6,687,3.5
 2019-08-05T19:00:00.000Z,6,235.7,676,2.3
 2019-08-05T20:00:00.000Z,6,235.7,685,2.4
 2019-08-05T21:00:00.000Z,6,235.7,706,2.4
 2019-08-05T22:00:00.000Z,6,235.8,707,2.2
 2019-08-05T23:00:00.000Z,6,235.8,708,2.2
 2019-08-06T00:00:00.000Z,6,235.9,705,2.2
 2019-08-06T01:00:00.000Z,6,235.9,722,2.2
 2019-08-06T02:00:00.000Z,6,235.9,717,2.1
 2019-08-06T03:00:00.000Z,6,236,712,2
 2019-08-06T04:00:00.000Z,6,236,715,2.1
 2019-08-06T05:00:00.000Z,6,236.1,712,1.9
 2019-08-06T06:00:00.000Z,6,236.1,705,1.8
 2019-08-06T07:00:00.000Z,6,236.1,663,1.6
 2019-08-06T08:00:00.000Z,6,236.2,654,1.8
 2019-08-06T09:00:00.000Z,6,236.2,682,2.2
 2019-08-06T10:00:00.000Z,6,236.3,659,1.8
 2019-08-06T11:00:00.000Z,6,236.3,644,1.8
 2019-08-06T12:00:00.000Z,6,236.3,641,2.1
 2019-08-06T13:00:00.000Z,6,236.4,655,2.2
 2019-08-06T14:00:00.000Z,6,236.4,645,2
 2019-08-06T15:00:00.000Z,6.1,236.5,615,1.8
 2019-08-06T16:00:00.000Z,6.1,236.5,622,2.1
 2019-08-06T17:00:00.000Z,6.1,236.5,612,2.4
 2019-08-06T18:00:00.000Z,6.1,236.6,599,2.8
 2019-08-06T19:00:00.000Z,6.1,236.6,602,2.7
 2019-08-06T20:00:00.000Z,6.1,236.7,611,2.6
 2019-08-06T21:00:00.000Z,6.1,236.7,637,2.3
 2019-08-06T22:00:00.000Z,6.1,236.7,627,2.3
 2019-08-06T23:00:00.000Z,6.1,236.8,622,2.5
 2019-08-07T00:00:00.000Z,6.1,236.8,601,2.4
 2019-08-07T01:00:00.000Z,6.1,236.9,592,2.3
 2019-08-07T02:00:00.000Z,6.1,236.9,585,2.3
 2019-08-07T03:00:00.000Z,6.1,236.9,572,2.1
 2019-08-07T04:00:00.000Z,6.1,237,559,1.8
 2019-08-07T05:00:00.000Z,6.1,237,560,2.1
 2019-08-07T06:00:00.000Z,6.1,237.1,551,1.9
 2019-08-07T07:00:00.000Z,6.1,237.1,541,1.6
 2019-08-07T08:00:00.000Z,6.1,237.1,541,1.7
 2019-08-07T09:00:00.000Z,6.1,237.2,518,1.9
 2019-08-07T10:00:00.000Z,6.1,237.2,524,2.3
 2019-08-07T11:00:00.000Z,6.1,237.3,514,2.4
 2019-08-07T12:00:00.000Z,6.1,237.3,507,2.6
 2019-08-07T13:00:00.000Z,6.1,237.3,514,3
 2019-08-07T14:00:00.000Z,6.1,237.4,485,2.3
 2019-08-07T15:00:00.000Z,6.1,237.4,478,2.3
 2019-08-07T16:00:00.000Z,6.1,237.5,475,2.3
 2019-08-07T17:00:00.000Z,6.1,237.5,479,2.6
 2019-08-07T18:00:00.000Z,6.1,237.5,488,2.6
 2019-08-07T19:00:00.000Z,6.1,237.6,484,2.8
 2019-08-07T20:00:00.000Z,6.1,237.6,495,2.9
 2019-08-07T21:00:00.000Z,6.1,237.7,482,2.6
 2019-08-07T22:00:00.000Z,6.1,237.7,466,2.4
 2019-08-07T23:00:00.000Z,6.1,237.7,473,2.9
 2019-08-08T00:00:00.000Z,6.1,237.8,447,2.3
 2019-08-08T01:00:00.000Z,6.1,237.8,457,3.3
 2019-08-08T02:00:00.000Z,6.1,237.9,454,3.2
 2019-08-08T03:00:00.000Z,6.2,237.9,449,3.4
 2019-08-08T04:00:00.000Z,6.2,237.9,459,3.7
 2019-08-08T05:00:00.000Z,6.2,238,461,2.7
 2019-08-08T06:00:00.000Z,6.2,238,438,2.6
 2019-08-08T07:00:00.000Z,6.2,238.1,425,2.3
 2019-08-08T08:00:00.000Z,6.2,238.1,422,2.3
 2019-08-08T09:00:00.000Z,6.2,238.1,440,2.5
 2019-08-08T10:00:00.000Z,6.2,238.2,435,2.2
 2019-08-08T11:00:00.000Z,6.2,238.2,460,2.6
 2019-08-08T12:00:00.000Z,6.2,238.3,506,2.4
 2019-08-08T13:00:00.000Z,6.2,238.3,544,2.8
 2019-08-08T14:00:00.000Z,6.2,238.3,544,2.6
 2019-08-08T15:00:00.000Z,6.2,238.4,542,2.3
 2019-08-08T16:00:00.000Z,6.2,238.4,550,2.3
 2019-08-08T17:00:00.000Z,6.2,238.5,543,2
 2019-08-08T18:00:00.000Z,6.2,238.5,524,1.9
 2019-08-08T19:00:00.000Z,6.2,238.5,532,1.8
 2019-08-08T20:00:00.000Z,6.2,238.6,534,1.7
 2019-08-08T21:00:00.000Z,6.2,238.6,527,1.9
 2019-08-08T22:00:00.000Z,6.2,238.7,520,2
 2019-08-08T23:00:00.000Z,6.2,238.7,-1.00E+31,-1.00E+31
 2019-08-09T00:00:00.000Z,6.2,238.7,-1.00E+31,-1.00E+31
 2019-08-09T01:00:00.000Z,6.2,238.8,-1.00E+31,-1.00E+31
 2019-08-09T02:00:00.000Z,6.2,238.8,-1.00E+31,-1.00E+31
 2019-08-09T03:00:00.000Z,6.2,238.9,-1.00E+31,-1.00E+31
 2019-08-09T04:00:00.000Z,6.2,238.9,-1.00E+31,-1.00E+31
 2019-08-09T05:00:00.000Z,6.2,238.9,-1.00E+31,-1.00E+31
 2019-08-09T06:00:00.000Z,6.2,239,-1.00E+31,-1.00E+31
 2019-08-09T07:00:00.000Z,6.2,239,-1.00E+31,-1.00E+31
 2019-08-09T08:00:00.000Z,6.2,239.1,-1.00E+31,-1.00E+31
 2019-08-09T09:00:00.000Z,6.2,239.1,-1.00E+31,-1.00E+31
 2019-08-09T10:00:00.000Z,6.2,239.1,-1.00E+31,-1.00E+31
