EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,HELIOGRAPHIC_LATITUDE_deg,HELIOGRAPHIC_LONGITUDE_deg,BULK_FLOW_SPEED_km/s,ION_DENSITY_N/cm3
 2015-01-01T23:00:00.000Z,-3,24,439,5.3
 2015-01-02T00:00:00.000Z,-3,24,433,4.9
 2015-01-02T01:00:00.000Z,-3,24.1,432,4.9
 2015-01-02T02:00:00.000Z,-3,24.1,433,4.3
 2015-01-02T03:00:00.000Z,-3,24.1,433,5.2
 2015-01-02T04:00:00.000Z,-3,24.2,430,5.5
 2015-01-02T05:00:00.000Z,-3,24.2,414,5.6
 2015-01-02T06:00:00.000Z,-3,24.3,415,5.5
 2015-01-02T07:00:00.000Z,-3,24.3,431,7.6
 2015-01-02T08:00:00.000Z,-3,24.3,435,9.6
 2015-01-02T09:00:00.000Z,-3,24.4,456,10.3
 2015-01-02T10:00:00.000Z,-3,24.4,465,11.5
 2015-01-02T11:00:00.000Z,-3,24.5,445,12.5
 2015-01-02T12:00:00.000Z,-3,24.5,433,13.6
 2015-01-02T13:00:00.000Z,-3,24.6,432,14.6
 2015-01-02T14:00:00.000Z,-3,24.6,417,15.8
 2015-01-02T15:00:00.000Z,-3,24.6,420,14.2
 2015-01-02T16:00:00.000Z,-3,24.7,425,10.4
 2015-01-02T17:00:00.000Z,-3,24.7,412,10.9
 2015-01-02T18:00:00.000Z,-3.1,24.8,396,10.2
 2015-01-02T19:00:00.000Z,-3.1,24.8,386,10.9
 2015-01-02T20:00:00.000Z,-3.1,24.9,382,14.4
 2015-01-02T21:00:00.000Z,-3.1,24.9,383,18.5
 2015-01-02T22:00:00.000Z,-3.1,24.9,381,23.2
 2015-01-02T23:00:00.000Z,-3.1,25,378,28.3
 2015-01-03T00:00:00.000Z,-3.1,25,379,33
 2015-01-03T01:00:00.000Z,-3.1,25.1,382,20.3
 2015-01-03T02:00:00.000Z,-3.1,25.1,429,13.2
 2015-01-03T03:00:00.000Z,-3.1,25.2,432,9.7
 2015-01-03T04:00:00.000Z,-3.1,25.2,431,19.3
 2015-01-03T05:00:00.000Z,-3.1,25.2,438,14.3
 2015-01-03T06:00:00.000Z,-3.1,25.3,450,11.6
 2015-01-03T07:00:00.000Z,-3.1,25.3,454,9.2
 2015-01-03T08:00:00.000Z,-3.1,25.4,476,7.1
 2015-01-03T09:00:00.000Z,-3.1,25.4,468,6.5
 2015-01-03T10:00:00.000Z,-3.1,25.4,480,6.8
 2015-01-03T11:00:00.000Z,-3.1,25.5,448,5.9
 2015-01-03T12:00:00.000Z,-3.1,25.5,441,6.5
 2015-01-03T13:00:00.000Z,-3.1,25.6,443,6.1
 2015-01-03T14:00:00.000Z,-3.1,25.6,456,5
 2015-01-03T15:00:00.000Z,-3.2,25.7,459,3.8
 2015-01-03T16:00:00.000Z,-3.2,25.7,459,3.6
 2015-01-03T17:00:00.000Z,-3.2,25.7,455,3.7
 2015-01-03T18:00:00.000Z,-3.2,25.8,459,3.9
 2015-01-03T19:00:00.000Z,-3.2,25.8,462,4.4
 2015-01-03T20:00:00.000Z,-3.2,25.9,459,4.5
 2015-01-03T21:00:00.000Z,-3.2,25.9,463,4
 2015-01-03T22:00:00.000Z,-3.2,26,456,4.1
 2015-01-03T23:00:00.000Z,-3.2,26,450,4.1
 2015-01-04T00:00:00.000Z,-3.2,26,448,4.3
 2015-01-04T01:00:00.000Z,-3.2,26.1,440,4.4
 2015-01-04T02:00:00.000Z,-3.2,26.1,435,3.6
 2015-01-04T03:00:00.000Z,-3.2,26.2,430,4.7
 2015-01-04T04:00:00.000Z,-3.2,26.2,425,5.2
 2015-01-04T05:00:00.000Z,-3.2,26.3,433,6
 2015-01-04T06:00:00.000Z,-3.2,26.3,428,7.2
 2015-01-04T07:00:00.000Z,-3.2,26.3,391,6.6
 2015-01-04T08:00:00.000Z,-3.2,26.4,397,8.2
 2015-01-04T09:00:00.000Z,-3.2,26.4,406,7
 2015-01-04T10:00:00.000Z,-3.2,26.5,400,8.5
 2015-01-04T11:00:00.000Z,-3.2,26.5,401,10
 2015-01-04T12:00:00.000Z,-3.3,26.5,409,11.7
 2015-01-04T13:00:00.000Z,-3.3,26.6,416,9.7
 2015-01-04T14:00:00.000Z,-3.3,26.6,401,6.9
 2015-01-04T15:00:00.000Z,-3.3,26.7,400,7.3
 2015-01-04T16:00:00.000Z,-3.3,26.7,397,6.8
