EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,OMNI_HGI_LAT_deg,OMNI_HGI_LON_deg,OMNI_speed_km_s,OMNI_density_n_cc
 1972-12-20T01:00:00.000Z,-1.6,12.4,408,4.5
 1972-12-20T02:00:00.000Z,-1.6,12.4,399,4.7
 1972-12-20T03:00:00.000Z,-1.6,12.5,399,5
 1972-12-20T04:00:00.000Z,-1.6,12.5,390,5.4
 1972-12-20T05:00:00.000Z,-1.6,12.6,394,4.5
 1972-12-20T06:00:00.000Z,-1.6,12.6,388,4.8
 1972-12-20T07:00:00.000Z,-1.6,12.7,390,4.8
 1972-12-20T08:00:00.000Z,-1.6,12.7,396,4
 1972-12-20T09:00:00.000Z,-1.6,12.7,405,3.5
 1972-12-20T10:00:00.000Z,-1.6,12.8,400,3.9
 1972-12-20T11:00:00.000Z,-1.6,12.8,395,4.5
 1972-12-20T12:00:00.000Z,-1.6,12.9,391,4.4
 1972-12-20T13:00:00.000Z,-1.6,12.9,386,4.4
 1972-12-20T14:00:00.000Z,-1.6,12.9,381,4.8
 1972-12-20T15:00:00.000Z,-1.6,13,371,4.8
 1972-12-20T16:00:00.000Z,-1.6,13,381,4.8
 1972-12-20T17:00:00.000Z,-1.6,13.1,379,4.4
 1972-12-20T18:00:00.000Z,-1.7,13.1,365,4.7
 1972-12-20T19:00:00.000Z,-1.7,13.2,364,4.8
 1972-12-20T20:00:00.000Z,-1.7,13.2,365,5
 1972-12-20T21:00:00.000Z,-1.7,13.2,363,4.9
 1972-12-20T22:00:00.000Z,-1.7,13.3,366,5.3
 1972-12-20T23:00:00.000Z,-1.7,13.3,364,5.5
 1972-12-21T00:00:00.000Z,-1.7,13.4,361,5.2
 1972-12-21T01:00:00.000Z,-1.7,13.4,361,5.7
 1972-12-21T02:00:00.000Z,-1.7,13.5,356,5.5
 1972-12-21T03:00:00.000Z,-1.7,13.5,-1.00E+31,-1.00E+31
 1972-12-21T04:00:00.000Z,-1.7,13.5,-1.00E+31,-1.00E+31
 1972-12-21T05:00:00.000Z,-1.7,13.6,-1.00E+31,-1.00E+31
 1972-12-21T06:00:00.000Z,-1.7,13.6,343,7.8
 1972-12-21T07:00:00.000Z,-1.7,13.7,343,7.1
 1972-12-21T08:00:00.000Z,-1.7,13.7,332,7
 1972-12-21T09:00:00.000Z,-1.7,13.7,337,7.2
 1972-12-21T10:00:00.000Z,-1.7,13.8,323,7.1
 1972-12-21T11:00:00.000Z,-1.7,13.8,320,7.6
 1972-12-21T12:00:00.000Z,-1.7,13.9,320,8.1
 1972-12-21T13:00:00.000Z,-1.8,13.9,317,9.7
 1972-12-21T14:00:00.000Z,-1.8,14,322,9.9
 1972-12-21T15:00:00.000Z,-1.8,14,315,10.6
 1972-12-21T16:00:00.000Z,-1.8,14,311,12.7
 1972-12-21T17:00:00.000Z,-1.8,14.1,311,12.4
 1972-12-21T18:00:00.000Z,-1.8,14.1,316,14.7
 1972-12-21T19:00:00.000Z,-1.8,14.2,316,14.3
 1972-12-21T20:00:00.000Z,-1.8,14.2,316,14.4
 1972-12-21T21:00:00.000Z,-1.8,14.3,313,14.5
 1972-12-21T22:00:00.000Z,-1.8,14.3,307,11.6
 1972-12-21T23:00:00.000Z,-1.8,14.3,305,12.5
 1972-12-22T00:00:00.000Z,-1.8,14.4,310,14.6
 1972-12-22T01:00:00.000Z,-1.8,14.4,312,17.3
 1972-12-22T02:00:00.000Z,-1.8,14.5,313,19.6
 1972-12-22T03:00:00.000Z,-1.8,14.5,313,20.4
 1972-12-22T04:00:00.000Z,-1.8,14.5,-1.00E+31,-1.00E+31
 1972-12-22T05:00:00.000Z,-1.8,14.6,316,21.3
 1972-12-22T06:00:00.000Z,-1.8,14.6,319,21.3
 1972-12-22T07:00:00.000Z,-1.8,14.7,-1.00E+31,-1.00E+31
 1972-12-22T08:00:00.000Z,-1.9,14.7,-1.00E+31,-1.00E+31
 1972-12-22T09:00:00.000Z,-1.9,14.8,337,33.8
 1972-12-22T10:00:00.000Z,-1.9,14.8,337,29.1
 1972-12-22T11:00:00.000Z,-1.9,14.8,338,31.5
 1972-12-22T12:00:00.000Z,-1.9,14.9,347,32.3
 1972-12-22T13:00:00.000Z,-1.9,14.9,357,19.6
 1972-12-22T14:00:00.000Z,-1.9,15,364,14.6
 1972-12-22T15:00:00.000Z,-1.9,15,369,13.5
 1972-12-22T16:00:00.000Z,-1.9,15.1,-1.00E+31,-1.00E+31
 1972-12-22T17:00:00.000Z,-1.9,15.1,-1.00E+31,-1.00E+31
 1972-12-22T18:00:00.000Z,-1.9,15.1,415,17.7
 1972-12-22T19:00:00.000Z,-1.9,15.2,426,16.7
 1972-12-22T20:00:00.000Z,-1.9,15.2,424,15.7
 1972-12-22T21:00:00.000Z,-1.9,15.3,421,17
 1972-12-22T22:00:00.000Z,-1.9,15.3,411,15.2
 1972-12-22T23:00:00.000Z,-1.9,15.3,434,15.3
 1972-12-23T00:00:00.000Z,-1.9,15.4,436,13.4
 1972-12-23T01:00:00.000Z,-1.9,15.4,442,12.1
 1972-12-23T02:00:00.000Z,-1.9,15.5,436,11.2
 1972-12-23T03:00:00.000Z,-1.9,15.5,437,9.6
 1972-12-23T04:00:00.000Z,-2,15.6,442,9.6
 1972-12-23T05:00:00.000Z,-2,15.6,449,8.8
 1972-12-23T06:00:00.000Z,-2,15.6,-1.00E+31,-1.00E+31
 1972-12-23T07:00:00.000Z,-2,15.7,-1.00E+31,-1.00E+31
 1972-12-23T08:00:00.000Z,-2,15.7,-1.00E+31,-1.00E+31
 1972-12-23T09:00:00.000Z,-2,15.8,-1.00E+31,-1.00E+31
 1972-12-23T10:00:00.000Z,-2,15.8,-1.00E+31,-1.00E+31
 1972-12-23T11:00:00.000Z,-2,15.9,485,8
 1972-12-23T12:00:00.000Z,-2,15.9,496,10.6
 1972-12-23T13:00:00.000Z,-2,15.9,487,10.2
 1972-12-23T14:00:00.000Z,-2,16,486,11.1
 1972-12-23T15:00:00.000Z,-2,16,466,11.2
 1972-12-23T16:00:00.000Z,-2,16.1,484,12.2
 1972-12-23T17:00:00.000Z,-2,16.1,473,11
 1972-12-23T18:00:00.000Z,-2,16.1,474,10.4
 1972-12-23T19:00:00.000Z,-2,16.2,483,10.2
 1972-12-23T20:00:00.000Z,-2,16.2,494,9.3
 1972-12-23T21:00:00.000Z,-2,16.3,497,9
 1972-12-23T22:00:00.000Z,-2,16.3,489,9.4
 1972-12-23T23:00:00.000Z,-2.1,16.4,487,8.5
 1972-12-24T00:00:00.000Z,-2.1,16.4,498,8.2
 1972-12-24T01:00:00.000Z,-2.1,16.4,497,8.2
 1972-12-24T02:00:00.000Z,-2.1,16.5,491,8
 1972-12-24T03:00:00.000Z,-2.1,16.5,501,7
 1972-12-24T04:00:00.000Z,-2.1,16.6,508,7.4
 1972-12-24T05:00:00.000Z,-2.1,16.6,507,7.3
 1972-12-24T06:00:00.000Z,-2.1,16.7,504,6.4
 1972-12-24T07:00:00.000Z,-2.1,16.7,500,6
 1972-12-24T08:00:00.000Z,-2.1,16.7,-1.00E+31,-1.00E+31
 1972-12-24T09:00:00.000Z,-2.1,16.8,-1.00E+31,-1.00E+31
 1972-12-24T10:00:00.000Z,-2.1,16.8,-1.00E+31,-1.00E+31
 1972-12-24T11:00:00.000Z,-2.1,16.9,-1.00E+31,-1.00E+31
 1972-12-24T12:00:00.000Z,-2.1,16.9,478,5.6
 1972-12-24T13:00:00.000Z,-2.1,16.9,487,4.9
 1972-12-24T14:00:00.000Z,-2.1,17,485,4.1
 1972-12-24T15:00:00.000Z,-2.1,17,485,4.1
 1972-12-24T16:00:00.000Z,-2.1,17.1,475,3.8
 1972-12-24T17:00:00.000Z,-2.1,17.1,473,3
 1972-12-24T18:00:00.000Z,-2.1,17.2,474,3.1
 1972-12-24T19:00:00.000Z,-2.2,17.2,471,3
 1972-12-24T20:00:00.000Z,-2.2,17.2,461,3.3
 1972-12-24T21:00:00.000Z,-2.2,17.3,459,3.1
 1972-12-24T22:00:00.000Z,-2.2,17.3,451,3.3
 1972-12-24T23:00:00.000Z,-2.2,17.4,446,4
 1972-12-25T00:00:00.000Z,-2.2,17.4,448,5.3
 1972-12-25T01:00:00.000Z,-2.2,17.5,428,7.8
 1972-12-25T02:00:00.000Z,-2.2,17.5,411,7.6
 1972-12-25T03:00:00.000Z,-2.2,17.5,405,6.6
 1972-12-25T04:00:00.000Z,-2.2,17.6,398,6.4
 1972-12-25T05:00:00.000Z,-2.2,17.6,396,6.2
 1972-12-25T06:00:00.000Z,-2.2,17.7,393,6.8
 1972-12-25T07:00:00.000Z,-2.2,17.7,385,8.1
 1972-12-25T08:00:00.000Z,-2.2,17.8,375,7.7
 1972-12-25T09:00:00.000Z,-2.2,17.8,378,8.1
 1972-12-25T10:00:00.000Z,-2.2,17.8,372,6.5
 1972-12-25T11:00:00.000Z,-2.2,17.9,-1.00E+31,-1.00E+31
 1972-12-25T12:00:00.000Z,-2.2,17.9,-1.00E+31,-1.00E+31
 1972-12-25T13:00:00.000Z,-2.2,18,378,10.8
 1972-12-25T14:00:00.000Z,-2.3,18,388,9.2
 1972-12-25T15:00:00.000Z,-2.3,18,380,12
 1972-12-25T16:00:00.000Z,-2.3,18.1,378,13.2
 1972-12-25T17:00:00.000Z,-2.3,18.1,378,11.8
 1972-12-25T18:00:00.000Z,-2.3,18.2,393,13.6
 1972-12-25T19:00:00.000Z,-2.3,18.2,396,14.6
 1972-12-25T20:00:00.000Z,-2.3,18.3,397,10.9
 1972-12-25T21:00:00.000Z,-2.3,18.3,398,8.7
 1972-12-25T22:00:00.000Z,-2.3,18.3,398,7.4
 1972-12-25T23:00:00.000Z,-2.3,18.4,397,6.5
 1972-12-26T00:00:00.000Z,-2.3,18.4,401,6.6
 1972-12-26T01:00:00.000Z,-2.3,18.5,393,6.7
 1972-12-26T02:00:00.000Z,-2.3,18.5,396,6.6
 1972-12-26T03:00:00.000Z,-2.3,18.6,391,6.4
 1972-12-26T04:00:00.000Z,-2.3,18.6,406,6.3
 1972-12-26T05:00:00.000Z,-2.3,18.6,410,6
 1972-12-26T06:00:00.000Z,-2.3,18.7,406,5
 1972-12-26T07:00:00.000Z,-2.3,18.7,407,4.1
 1972-12-26T08:00:00.000Z,-2.3,18.8,408,4.1
 1972-12-26T09:00:00.000Z,-2.3,18.8,415,4.7
 1972-12-26T10:00:00.000Z,-2.4,18.8,413,4.7
 1972-12-26T11:00:00.000Z,-2.4,18.9,414,5.3
 1972-12-26T12:00:00.000Z,-2.4,18.9,412,5
 1972-12-26T13:00:00.000Z,-2.4,19,412,4.9
 1972-12-26T14:00:00.000Z,-2.4,19,411,4.9
 1972-12-26T15:00:00.000Z,-2.4,19.1,398,4.8
 1972-12-26T16:00:00.000Z,-2.4,19.1,397,4.5
 1972-12-26T17:00:00.000Z,-2.4,19.1,392,4.6
