EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,OMNI_LAT_deg,OMNI_LONG_deg,OMNI_BR_nT,OMNI_BT_nT,OMNI_BN_nT,OMNI_MAG_AVG_nT,OMNI_SPEED_kms,OMNI_DENSITY_Ncm3,OMNI_TEMP_DegK
 1973-05-01T00:00:00.000Z,-4.2,144.9,3.5,-1.8,0.2,5,675,2.2,311423
 1973-05-01T01:00:00.000Z,-4.2,145,2.5,-3.5,1.1,5.3,634,2.2,308901
 1973-05-01T02:00:00.000Z,-4.2,145,1.9,-3.9,1.5,5.4,-1.00E+31,-1.00E+31,-1.00E+31
 1973-05-01T03:00:00.000Z,-4.2,145,2.8,-4.1,-1.1,5.5,630,2.1,274185
 1973-05-01T04:00:00.000Z,-4.2,145.1,2.1,-3.2,-1.8,5.4,631,2.1,295411
 1973-05-01T05:00:00.000Z,-4.2,145.1,3.3,-2,0.4,5.2,615,2.4,309590
 1973-05-01T06:00:00.000Z,-4.2,145.2,3.6,-2.3,-0.5,5.2,610,2.2,316734
 1973-05-01T07:00:00.000Z,-4.2,145.2,3.1,-2.4,1.9,5.2,616,2.7,335425
 1973-05-01T08:00:00.000Z,-4.1,145.3,2.6,0.2,2.6,5.4,628,2.4,358348
 1973-05-01T09:00:00.000Z,-4.1,145.3,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
 1973-05-01T10:00:00.000Z,-4.1,145.3,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
 1973-05-01T11:00:00.000Z,-4.1,145.4,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,617,2.2,287664
 1973-05-01T12:00:00.000Z,-4.1,145.4,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
 1973-05-01T13:00:00.000Z,-4.1,145.5,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
 1973-05-01T14:00:00.000Z,-4.1,145.5,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
 1973-05-01T15:00:00.000Z,-4.1,145.5,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
 1973-05-01T16:00:00.000Z,-4.1,145.6,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
 1973-05-01T17:00:00.000Z,-4.1,145.6,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
 1973-05-01T18:00:00.000Z,-4.1,145.7,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
 1973-05-01T19:00:00.000Z,-4.1,145.7,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
 1973-05-01T20:00:00.000Z,-4.1,145.7,3.3,5.9,1.7,7.3,-1.00E+31,-1.00E+31,-1.00E+31
 1973-05-01T21:00:00.000Z,-4.1,145.8,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
 1973-05-01T22:00:00.000Z,-4.1,145.8,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
 1973-05-01T23:00:00.000Z,-4.1,145.9,4.4,-1.2,2.2,6.1,-1.00E+31,-1.00E+31,-1.00E+31
