EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,OMNI_LAT_deg,OMNI_LONG_deg,OMNI_BR_nT,OMNI_BT_nT,OMNI_BN_nT,OMNI_MAG_AVG_nT,OMNI_SPEED_kms,OMNI_DENSITY_Ncm3,OMNI_TEMP_DegK
 1972-05-01T00:00:00.000Z,-4.2,145.2,1.8,-2,-1.6,4.3,384,21.2,54184
 1972-05-01T01:00:00.000Z,-4.1,145.2,6,-0.8,-6.7,9.5,372,12.5,38938
 1972-05-01T02:00:00.000Z,-4.1,145.3,4.1,-5,-1.2,7.9,366,14.2,41363
 1972-05-01T03:00:00.000Z,-4.1,145.3,-0.2,-3.4,5.7,9,373,12.3,50253
 1972-05-01T04:00:00.000Z,-4.1,145.4,1.4,2.8,-6.9,8.2,390,13,145055
 1972-05-01T05:00:00.000Z,-4.1,145.4,-2.1,-1.3,4.5,8.2,407,25.2,103265
 1972-05-01T06:00:00.000Z,-4.1,145.4,-1.6,-5.2,6.9,12.3,-1.00E+31,-1.00E+31,-1.00E+31
 1972-05-01T07:00:00.000Z,-4.1,145.5,5.2,-4.8,-7.9,11.2,-1.00E+31,-1.00E+31,-1.00E+31
 1972-05-01T08:00:00.000Z,-4.1,145.5,3.7,-5.2,3.2,11.2,-1.00E+31,-1.00E+31,-1.00E+31
 1972-05-01T09:00:00.000Z,-4.1,145.6,-1.3,2.1,2,8.4,-1.00E+31,-1.00E+31,-1.00E+31
 1972-05-01T10:00:00.000Z,-4.1,145.6,-2,7.1,1.6,8,-1.00E+31,-1.00E+31,-1.00E+31
 1972-05-01T11:00:00.000Z,-4.1,145.6,2,0.1,-0.5,3.6,-1.00E+31,-1.00E+31,-1.00E+31
 1972-05-01T12:00:00.000Z,-4.1,145.7,-2.3,3.4,-0.7,5.5,-1.00E+31,-1.00E+31,-1.00E+31
 1972-05-01T13:00:00.000Z,-4.1,145.7,-1.8,2.6,2.8,5.8,-1.00E+31,-1.00E+31,-1.00E+31
 1972-05-01T14:00:00.000Z,-4.1,145.8,1.5,-3.5,0,4.6,-1.00E+31,-1.00E+31,-1.00E+31
 1972-05-01T15:00:00.000Z,-4.1,145.8,2.7,0.3,-2.4,4.3,-1.00E+31,-1.00E+31,-1.00E+31
 1972-05-01T16:00:00.000Z,-4.1,145.8,2,-2,-3.2,5,-1.00E+31,-1.00E+31,-1.00E+31
 1972-05-01T17:00:00.000Z,-4.1,145.9,5.1,-2.3,-1.4,6.3,-1.00E+31,-1.00E+31,-1.00E+31
 1972-05-01T18:00:00.000Z,-4.1,145.9,4.5,0.1,-1.9,6.5,-1.00E+31,-1.00E+31,-1.00E+31
