EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,OMNI_LAT_deg,OMNI_LONG_deg,OMNI_BR_nT,OMNI_BT_nT,OMNI_BN_nT,OMNI_MAG_AVG_nT,OMNI_SPEED_kms,OMNI_DENSITY_Ncm3,OMNI_TEMP_DegK
 1972-11-15T01:00:00.000Z,2.8,337.2,-1.9,0.5,1.6,3.3,305,25.1,18067
 1972-11-15T02:00:00.000Z,2.8,337.2,-2.3,0.9,-0.4,3.3,309,26.4,20264
 1972-11-15T03:00:00.000Z,2.8,337.3,-1.9,0.8,-6.1,7.1,324,17.9,34732
 1972-11-15T04:00:00.000Z,2.8,337.3,-1.3,3.2,-5.9,7.6,330,16,47496
 1972-11-15T05:00:00.000Z,2.8,337.3,-4.7,5.6,1.1,7.8,326,16.3,48461
 1972-11-15T06:00:00.000Z,2.8,337.4,-3.5,4,-0.8,8.2,329,19.5,39823
 1972-11-15T07:00:00.000Z,2.8,337.4,-2.1,3.9,-4.9,7.2,-1.00E+31,-1.00E+31,-1.00E+31
 1972-11-15T08:00:00.000Z,2.8,337.5,1.3,0,-3.2,4.6,348,24.5,47142
 1972-11-15T09:00:00.000Z,2.8,337.5,1.4,0,-2.3,4.2,362,26,71030
 1972-11-15T10:00:00.000Z,2.8,337.6,4.6,-7.4,0.1,9.7,360,18.4,97298
 1972-11-15T11:00:00.000Z,2.8,337.6,3.8,-7.6,2.4,9.8,361,17.5,108006
 1972-11-15T12:00:00.000Z,2.8,337.6,-1.3,-5.7,5.7,10.5,-1.00E+31,-1.00E+31,-1.00E+31
 1972-11-15T13:00:00.000Z,2.8,337.7,1.6,-9.3,0.1,10.3,-1.00E+31,-1.00E+31,-1.00E+31
 1972-11-15T14:00:00.000Z,2.8,337.7,3.6,-6.1,-4.3,9.4,381,17.8,118918
 1972-11-15T15:00:00.000Z,2.8,337.8,4.4,-6.7,-2.6,9,380,16.6,132146
 1972-11-15T16:00:00.000Z,2.8,337.8,0.4,-4,1.7,7.1,400,18.4,152758
 1972-11-15T17:00:00.000Z,2.7,337.8,-2.7,-1.4,3.3,5.8,402,19.5,161720
 1972-11-15T18:00:00.000Z,2.7,337.9,1.1,-5.6,2.6,9.9,404,18.5,127332
 1972-11-15T19:00:00.000Z,2.7,337.9,3.1,-7.7,3.4,11.4,408,19.1,121501
 1972-11-15T20:00:00.000Z,2.7,338,0.5,-6.1,7,11.4,410,20.1,141049
 1972-11-15T21:00:00.000Z,2.7,338,6.5,-10.6,-1,12.8,406,17.4,131556
 1972-11-15T22:00:00.000Z,2.7,338.1,7.2,-9.7,-2.5,12.5,402,16.3,118014
 1972-11-15T23:00:00.000Z,2.7,338.1,7.5,-8.7,0.2,11.9,405,16.5,123397
 1972-11-16T00:00:00.000Z,2.7,338.1,7.5,-7.1,-2.9,11.8,397,15,125183
 1972-11-16T01:00:00.000Z,2.7,338.2,7.2,0.9,3.4,9.7,408,15,156892
 1972-11-16T02:00:00.000Z,2.7,338.2,5.9,-3.2,1.1,8.6,424,12.8,177255
 1972-11-16T03:00:00.000Z,2.7,338.3,4.1,-3.5,-5.7,8.7,452,11.1,197470
 1972-11-16T04:00:00.000Z,2.7,338.3,3.6,-1.7,-2.5,7.8,451,15.2,186121
 1972-11-16T05:00:00.000Z,2.7,338.4,6.8,-5.8,5.3,11.9,491,9.5,282242
 1972-11-16T06:00:00.000Z,2.7,338.4,5.4,-8.6,6.8,13.2,490,9.5,287279
 1972-11-16T07:00:00.000Z,2.7,338.4,7.3,-11,3.2,13.9,504,9,304432
 1972-11-16T08:00:00.000Z,2.7,338.5,5.7,-8.9,3.4,11.1,509,10,309374
 1972-11-16T09:00:00.000Z,2.7,338.5,6.3,-6.6,1.8,10.5,511,9.3,270952
 1972-11-16T10:00:00.000Z,2.7,338.6,6.5,-5.2,-0.6,9.9,516,7.8,238095
 1972-11-16T11:00:00.000Z,2.7,338.6,6.4,-3.9,-0.3,9.3,518,7.7,218934
 1972-11-16T12:00:00.000Z,2.7,338.6,5.1,-6.2,1.1,9.3,517,7.3,194150
 1972-11-16T13:00:00.000Z,2.6,338.7,6.7,-4.7,2.1,9.3,509,8,183505
 1972-11-16T14:00:00.000Z,2.6,338.7,8.4,-2.7,0.5,9.3,489,7.6,150384
 1972-11-16T15:00:00.000Z,2.6,338.8,3.8,-8.7,3.7,10.6,508,6.2,181242
 1972-11-16T16:00:00.000Z,2.6,338.8,4.2,-7.7,2.3,9.7,502,6.2,179895
 1972-11-16T17:00:00.000Z,2.6,338.9,6.6,-2.7,-0.8,7.9,497,6.1,168077
 1972-11-16T18:00:00.000Z,2.6,338.9,4.1,0.2,2.5,5.7,520,4.5,144477
 1972-11-16T19:00:00.000Z,2.6,338.9,4.5,-1,-0.6,5.4,516,4.7,170153
 1972-11-16T20:00:00.000Z,2.6,339,4.3,-1,1.9,5.8,517,4.5,158556
 1972-11-16T21:00:00.000Z,2.6,339,4.2,-2.5,-0.2,5.6,506,4.6,157465
 1972-11-16T22:00:00.000Z,2.6,339.1,4,-2.3,-1.5,5.5,502,4.1,145810
 1972-11-16T23:00:00.000Z,2.6,339.1,4.4,-3.2,0.3,5.8,490,3.7,137816
 1972-11-17T00:00:00.000Z,2.6,339.1,4.6,-2,0.9,5.8,486,4.2,137984
 1972-11-17T01:00:00.000Z,2.6,339.2,3.4,-2.4,0.2,5.5,479,3.7,136879
 1972-11-17T02:00:00.000Z,2.6,339.2,2,-4,1.4,5.9,486,4,129644
