EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,HELIOGRAPHIC_LATITUDE_deg,HELIOGRAPHIC_LONGITUDE_deg,BULK_FLOW_SPEED_km_s,ION_DENSITY_N_CC,TEMPERATURE_Deg_K
 2015-07-15T00:00:00.000Z,4.2,214.9,539,2.9,429730
 2015-07-15T01:00:00.000Z,4.2,215,557,2.6,324412
 2015-07-15T02:00:00.000Z,4.2,215,546,2.2,331943
 2015-07-15T03:00:00.000Z,4.2,215,552,2.1,267751
 2015-07-15T04:00:00.000Z,4.2,215.1,554,1.9,213528
 2015-07-15T05:00:00.000Z,4.2,215.1,534,1.4,196847
 2015-07-15T06:00:00.000Z,4.2,215.2,524,1.1,211140
 2015-07-15T07:00:00.000Z,4.2,215.2,540,1.6,276404
 2015-07-15T08:00:00.000Z,4.2,215.2,551,2.2,394786
 2015-07-15T09:00:00.000Z,4.2,215.3,523,2.4,342910
 2015-07-15T10:00:00.000Z,4.2,215.3,505,2.7,256215
 2015-07-15T11:00:00.000Z,4.2,215.4,502,2.7,248951
 2015-07-15T12:00:00.000Z,4.2,215.4,492,3.2,246873
 2015-07-15T13:00:00.000Z,4.2,215.4,503,3.5,229802
 2015-07-15T14:00:00.000Z,4.2,215.5,503,3.1,213293
 2015-07-15T15:00:00.000Z,4.2,215.5,488,2.6,213996
 2015-07-15T16:00:00.000Z,4.2,215.6,489,2.4,199829
 2015-07-15T17:00:00.000Z,4.2,215.6,488,2.6,183344
 2015-07-15T18:00:00.000Z,4.2,215.6,485,2.6,174661
 2015-07-15T19:00:00.000Z,4.2,215.7,483,2.1,164662
 2015-07-15T20:00:00.000Z,4.2,215.7,492,2.8,182320
 2015-07-15T21:00:00.000Z,4.3,215.8,490,2.1,152443
 2015-07-15T22:00:00.000Z,4.3,215.8,493,2.1,138232
 2015-07-15T23:00:00.000Z,4.3,215.8,522,3,193353
 2015-07-16T00:00:00.000Z,4.3,215.9,505,3,182987
 2015-07-16T01:00:00.000Z,4.3,215.9,514,3,174831
 2015-07-16T02:00:00.000Z,4.3,216,500,3.4,177079
 2015-07-16T03:00:00.000Z,4.3,216,500,2.8,160402
 2015-07-16T04:00:00.000Z,4.3,216,512,3,187430
 2015-07-16T05:00:00.000Z,4.3,216.1,509,2.9,179101
 2015-07-16T06:00:00.000Z,4.3,216.1,510,2.6,191223
 2015-07-16T07:00:00.000Z,4.3,216.2,506,2.4,203045
 2015-07-16T08:00:00.000Z,4.3,216.2,496,2.1,173508
 2015-07-16T09:00:00.000Z,4.3,216.2,513,2.4,191545
 2015-07-16T10:00:00.000Z,4.3,216.3,499,2.4,174322
 2015-07-16T11:00:00.000Z,4.3,216.3,500,2,162322
 2015-07-16T12:00:00.000Z,4.3,216.4,487,1.9,149103
 2015-07-16T13:00:00.000Z,4.3,216.4,488,1.7,154512
 2015-07-16T14:00:00.000Z,4.3,216.4,494,1.8,183466
 2015-07-16T15:00:00.000Z,4.3,216.5,475,1.3,161810
 2015-07-16T16:00:00.000Z,4.3,216.5,475,1.3,160987
 2015-07-16T17:00:00.000Z,4.3,216.5,480,1.4,128517
 2015-07-16T18:00:00.000Z,4.3,216.6,483,1.2,103818
 2015-07-16T19:00:00.000Z,4.3,216.6,493,1.2,102044
 2015-07-16T20:00:00.000Z,4.3,216.7,496,1.1,85480
 2015-07-16T21:00:00.000Z,4.3,216.7,472,1.4,131189
 2015-07-16T22:00:00.000Z,4.4,216.7,468,1.1,92399
 2015-07-16T23:00:00.000Z,4.4,216.8,466,0.9,70916
 2015-07-17T00:00:00.000Z,4.4,216.8,471,1.3,97320
 2015-07-17T01:00:00.000Z,4.4,216.9,466,1.7,75730
 2015-07-17T02:00:00.000Z,4.4,216.9,471,2,87026
 2015-07-17T03:00:00.000Z,4.4,216.9,459,1.3,94715
 2015-07-17T04:00:00.000Z,4.4,217,460,1.5,106791
 2015-07-17T05:00:00.000Z,4.4,217,467,1.6,109141
 2015-07-17T06:00:00.000Z,4.4,217.1,462,1.6,108186
 2015-07-17T07:00:00.000Z,4.4,217.1,454,1.4,96544
 2015-07-17T08:00:00.000Z,4.4,217.1,466,1.2,62460
 2015-07-17T09:00:00.000Z,4.4,217.2,437,1.3,81260
 2015-07-17T10:00:00.000Z,4.4,217.2,423,1.8,104467
 2015-07-17T11:00:00.000Z,4.4,217.3,410,2.3,78601
 2015-07-17T12:00:00.000Z,4.4,217.3,395,2.5,68005
 2015-07-17T13:00:00.000Z,4.4,217.3,403,3,67168
 2015-07-17T14:00:00.000Z,4.4,217.4,400,2.8,60420
 2015-07-17T15:00:00.000Z,4.4,217.4,393,3.5,75114
 2015-07-17T16:00:00.000Z,4.4,217.5,394,3.4,69309
 2015-07-17T17:00:00.000Z,4.4,217.5,391,3.4,76267
 2015-07-17T18:00:00.000Z,4.4,217.5,377,3.5,68783
