EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,HELIOGRAPHIC_LATITUDE_deg,HELIOGRAPHIC_LONGITUDE_deg,BULK_FLOW_SPEED_km_s,ION_DENSITY_N_cm3,
 2019-07-15T00:00:00.000Z,4.2,214.8,434,5.9,
 2019-07-15T01:00:00.000Z,4.2,214.9,432,6.3,
 2019-07-15T02:00:00.000Z,4.2,214.9,432,6.6,
 2019-07-15T03:00:00.000Z,4.2,214.9,432,6.5,
 2019-07-15T04:00:00.000Z,4.2,215,434,6.8,
 2019-07-15T05:00:00.000Z,4.2,215,435,6.8,
 2019-07-15T06:00:00.000Z,4.2,215.1,435,6.7,
 2019-07-15T07:00:00.000Z,4.2,215.1,447,5.8,
 2019-07-15T08:00:00.000Z,4.2,215.1,444,5,
 2019-07-15T09:00:00.000Z,4.2,215.2,460,5.7,
 2019-07-15T10:00:00.000Z,4.2,215.2,455,8.3,
 2019-07-15T11:00:00.000Z,4.2,215.3,450,8.9,
 2019-07-15T12:00:00.000Z,4.2,215.3,-1.00E+31,-1.00E+31,
 2019-07-15T13:00:00.000Z,4.2,215.3,477,6.2,
 2019-07-15T14:00:00.000Z,4.2,215.4,475,6.3,
 2019-07-15T15:00:00.000Z,4.2,215.4,460,6.2,
 2019-07-15T16:00:00.000Z,4.2,215.5,443,5.9,
 2019-07-15T17:00:00.000Z,4.2,215.5,444,5.6,
 2019-07-15T18:00:00.000Z,4.2,215.5,440,5,
 2019-07-15T19:00:00.000Z,4.2,215.6,435,5.8,
 2019-07-15T20:00:00.000Z,4.2,215.6,433,5.9,
 2019-07-15T21:00:00.000Z,4.2,215.7,416,5.3,
 2019-07-15T22:00:00.000Z,4.2,215.7,410,5.9,
 2019-07-15T23:00:00.000Z,4.2,215.7,402,5.7,
 2019-07-16T00:00:00.000Z,4.3,215.8,414,5.5,
 2019-07-16T01:00:00.000Z,4.3,215.8,422,4.5,
 2019-07-16T02:00:00.000Z,4.3,215.9,426,3.9,
 2019-07-16T03:00:00.000Z,4.3,215.9,425,3.3,
 2019-07-16T04:00:00.000Z,4.3,215.9,425,3.4,
 2019-07-16T05:00:00.000Z,4.3,216,408,4.2,
 2019-07-16T06:00:00.000Z,4.3,216,404,4.3,
 2019-07-16T07:00:00.000Z,4.3,216.1,405,4.4,
 2019-07-16T08:00:00.000Z,4.3,216.1,394,5,
 2019-07-16T09:00:00.000Z,4.3,216.1,388,5.1,
 2019-07-16T10:00:00.000Z,4.3,216.2,382,5.3,
 2019-07-16T11:00:00.000Z,4.3,216.2,377,5.6,
 2019-07-16T12:00:00.000Z,4.3,216.3,382,5.5,
 2019-07-16T13:00:00.000Z,4.3,216.3,-1.00E+31,-1.00E+31,
 2019-07-16T14:00:00.000Z,4.3,216.3,-1.00E+31,-1.00E+31,
