EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,ARTEMIS_DIST_AU,ARTEMIS_LAT_DEG,ARTEMIS_LONG_DEG
 2018-01-01T00:00:00.000Z,0.99,-3,24.3
 2018-01-02T00:00:00.000Z,0.99,-3.1,25.3
 2018-01-03T00:00:00.000Z,0.99,-3.2,26.4
 2018-01-04T00:00:00.000Z,0.99,-3.4,27.4
 2018-01-05T00:00:00.000Z,0.98,-3.5,28.5
 2018-01-06T00:00:00.000Z,0.98,-3.6,29.5
 2018-01-07T00:00:00.000Z,0.98,-3.7,30.5
 2018-01-08T00:00:00.000Z,0.98,-3.8,31.6
 2018-01-09T00:00:00.000Z,0.98,-3.9,32.6
 2018-01-10T00:00:00.000Z,0.98,-4,33.6
 2018-01-11T00:00:00.000Z,0.98,-4.1,34.6
 2018-01-12T00:00:00.000Z,0.98,-4.2,35.6
 2018-01-13T00:00:00.000Z,0.98,-4.3,36.6
 2018-01-14T00:00:00.000Z,0.98,-4.4,37.6
 2018-01-15T00:00:00.000Z,0.98,-4.5,38.6
 2018-01-16T00:00:00.000Z,0.98,-4.6,39.6
 2018-01-17T00:00:00.000Z,0.98,-4.7,40.6
 2018-01-18T00:00:00.000Z,0.98,-4.8,41.6
 2018-01-19T00:00:00.000Z,0.98,-4.9,42.6
 2018-01-20T00:00:00.000Z,0.98,-5,43.5
 2018-01-21T00:00:00.000Z,0.98,-5.1,44.5
 2018-01-22T00:00:00.000Z,0.98,-5.2,45.5
 2018-01-23T00:00:00.000Z,0.98,-5.3,46.5
 2018-01-24T00:00:00.000Z,0.98,-5.4,47.6
 2018-01-25T00:00:00.000Z,0.98,-5.5,48.6
 2018-01-26T00:00:00.000Z,0.98,-5.5,49.6
 2018-01-27T00:00:00.000Z,0.99,-5.6,50.6
 2018-01-28T00:00:00.000Z,0.99,-5.7,51.7
 2018-01-29T00:00:00.000Z,0.99,-5.8,52.7
 2018-01-30T00:00:00.000Z,0.99,-5.9,53.8
 2018-01-31T00:00:00.000Z,0.99,-5.9,54.8
 2018-02-01T00:00:00.000Z,0.99,-6,55.9
