EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,ARTEMIS_DIST_AU,ARTEMIS_LAT_DEG,ARTEMIS_LONG_DEG
 2017-01-02T00:00:00.000Z,0.98,-3.1,25.5
 2017-01-03T00:00:00.000Z,0.98,-3.3,26.5
 2017-01-04T00:00:00.000Z,0.98,-3.4,27.5
 2017-01-05T00:00:00.000Z,0.98,-3.5,28.5
 2017-01-06T00:00:00.000Z,0.98,-3.6,29.5
 2017-01-07T00:00:00.000Z,0.98,-3.7,30.5
 2017-01-08T00:00:00.000Z,0.98,-3.8,31.6
 2017-01-09T00:00:00.000Z,0.98,-3.9,32.6
 2017-01-10T00:00:00.000Z,0.99,-4,33.6
 2017-01-11T00:00:00.000Z,0.99,-4.2,34.7
 2017-01-12T00:00:00.000Z,0.99,-4.3,35.7
 2017-01-13T00:00:00.000Z,0.99,-4.4,36.8
 2017-01-14T00:00:00.000Z,0.99,-4.5,37.8
 2017-01-15T00:00:00.000Z,0.99,-4.6,38.9
 2017-01-16T00:00:00.000Z,0.99,-4.7,39.9
 2017-01-17T00:00:00.000Z,0.99,-4.8,41
 2017-01-18T00:00:00.000Z,0.98,-4.9,42
 2017-01-19T00:00:00.000Z,0.98,-5,43
 2017-01-20T00:00:00.000Z,0.98,-5,44
 2017-01-21T00:00:00.000Z,0.98,-5.1,45.1
 2017-01-22T00:00:00.000Z,0.98,-5.2,46.1
 2017-01-23T00:00:00.000Z,0.98,-5.3,47.1
 2017-01-24T00:00:00.000Z,0.98,-5.4,48.1
 2017-01-25T00:00:00.000Z,0.98,-5.5,49.1
 2017-01-26T00:00:00.000Z,0.98,-5.6,50.1
 2017-01-27T00:00:00.000Z,0.98,-5.6,51
 2017-01-28T00:00:00.000Z,0.98,-5.7,52
 2017-01-29T00:00:00.000Z,0.98,-5.8,53
 2017-01-30T00:00:00.000Z,0.98,-5.9,54
 2017-01-31T00:00:00.000Z,0.98,-5.9,55
 2017-02-01T00:00:00.000Z,0.98,-6,56
 2017-02-02T00:00:00.000Z,0.98,-6.1,57
 2017-02-03T00:00:00.000Z,0.98,-6.2,58
 2017-02-04T00:00:00.000Z,0.99,-6.2,59
 2017-02-05T00:00:00.000Z,0.99,-6.3,60
 2017-02-06T00:00:00.000Z,0.99,-6.4,61.1
 2017-02-07T00:00:00.000Z,0.99,-6.4,62.1
 2017-02-08T00:00:00.000Z,0.99,-6.5,63.1
 2017-02-09T00:00:00.000Z,0.99,-6.5,64.2
 2017-02-10T00:00:00.000Z,0.99,-6.6,65.2
 2017-02-11T00:00:00.000Z,0.99,-6.6,66.3
 2017-02-12T00:00:00.000Z,0.99,-6.7,67.3
 2017-02-13T00:00:00.000Z,0.99,-6.7,68.4
 2017-02-14T00:00:00.000Z,0.99,-6.8,69.4
 2017-02-15T00:00:00.000Z,0.99,-6.8,70.5
 2017-02-16T00:00:00.000Z,0.99,-6.9,71.5
 2017-02-17T00:00:00.000Z,0.99,-6.9,72.5
 2017-02-18T00:00:00.000Z,0.99,-6.9,73.5
 2017-02-19T00:00:00.000Z,0.99,-7,74.6
 2017-02-20T00:00:00.000Z,0.99,-7,75.6
 2017-02-21T00:00:00.000Z,0.99,-7,76.6
 2017-02-22T00:00:00.000Z,0.99,-7.1,77.6
 2017-02-23T00:00:00.000Z,0.99,-7.1,78.6
 2017-02-24T00:00:00.000Z,0.99,-7.1,79.6
 2017-02-25T00:00:00.000Z,0.99,-7.1,80.6
 2017-02-26T00:00:00.000Z,0.99,-7.2,81.5
 2017-02-27T00:00:00.000Z,0.99,-7.2,82.5
 2017-02-28T00:00:00.000Z,0.99,-7.2,83.5
 2017-03-01T00:00:00.000Z,0.99,-7.2,84.5
 2017-03-02T00:00:00.000Z,0.99,-7.2,85.5
 2017-03-03T00:00:00.000Z,0.99,-7.2,86.4
 2017-03-04T00:00:00.000Z,0.99,-7.2,87.4
 2017-03-05T00:00:00.000Z,0.99,-7.3,88.4
 2017-03-06T00:00:00.000Z,0.99,-7.3,89.5
 2017-03-07T00:00:00.000Z,0.99,-7.3,90.5
 2017-03-08T00:00:00.000Z,0.99,-7.2,91.5
 2017-03-09T00:00:00.000Z,0.99,-7.2,92.5
 2017-03-10T00:00:00.000Z,1,-7.2,93.6
 2017-03-11T00:00:00.000Z,1,-7.2,94.6
 2017-03-12T00:00:00.000Z,1,-7.2,95.6
 2017-03-13T00:00:00.000Z,1,-7.2,96.7
 2017-03-14T00:00:00.000Z,1,-7.2,97.7
 2017-03-15T00:00:00.000Z,1,-7.1,98.7
 2017-03-16T00:00:00.000Z,1,-7.1,99.8
 2017-03-17T00:00:00.000Z,1,-7.1,100.8
 2017-03-18T00:00:00.000Z,1,-7.1,101.8
 2017-03-19T00:00:00.000Z,1,-7,102.8
 2017-03-20T00:00:00.000Z,1,-7,103.8
 2017-03-21T00:00:00.000Z,1,-7,104.8
 2017-03-22T00:00:00.000Z,1,-7,105.8
 2017-03-23T00:00:00.000Z,1,-6.9,106.8
 2017-03-24T00:00:00.000Z,1,-6.9,107.8
 2017-03-25T00:00:00.000Z,1,-6.9,108.8
 2017-03-26T00:00:00.000Z,1,-6.8,109.7
 2017-03-27T00:00:00.000Z,1,-6.8,110.7
 2017-03-28T00:00:00.000Z,1,-6.7,111.7
