,EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,OMNI_LAT_deg,OMNI_LONG_deg,OMNI_BR_nT,OMNI_BT_nT,OMNI_BN_nT,OMNI_MAG_AVG_nT,OMNI_SPEED_kms,OMNI_DENSITY_Ncm3,OMNI_TEMP_DegK,EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,PIONEER_DIST_Au,PIONEER_LAT_deg,PIONEER_LONG_deg,PIONEER_BR_nT,PIONEER_BT_nT,PIONEER_BN_nT,PIONEER_MAG_AVG_nT,PIONEER_SPEED_kms,PIONEER_DENSITY_Ncm3,PIONEER_TEMP_DegK,new_time,Time_offset_hours
0,1972-04-29 20:00:00+00:00,-4.3,144.1,-3.6,1.3,-7.3,8.4,399,9.7,37895,1972-05-01 02:00:00+00:00,1.31,-5.5,150.4,-5.6059,3.0628,1.5009,6.7212,358.8,4.9885,108277,1972-04-29 20:00:00+00:00,30
1,1972-04-29 21:00:00+00:00,-4.3,144.1,-3.3,4.8,-5.7,8.4,399,10.4,42876,1972-05-01 03:00:00+00:00,1.31,-5.5,150.3,2.6176,-1.1548,-1.328,4.9206,386.5,4.9089,90870,1972-04-29 21:00:00+00:00,30
2,1972-04-29 22:00:00+00:00,-4.3,144.1,-3.7,4.5,-4.5,7.9,397,10,59168,1972-05-01 04:00:00+00:00,1.31,-5.4,150.4,2.7513,-0.681,-2.6753,4.6453,393.3,7.9336,53685,1972-04-29 22:00:00+00:00,30
3,1972-04-29 23:00:00+00:00,-4.3,144.2,-5.1,4,0.3,7.4,385,11,68408,1972-05-01 05:00:00+00:00,1.31,-5.4,150.4,2.0234,-0.2409,-1.2238,3.8461,391.9,7.8847,94691,1972-04-29 23:00:00+00:00,30
4,1972-04-30 00:00:00+00:00,-4.3,144.2,-1,6.1,-0.9,7.6,392,10.3,64527,1972-05-01 06:00:00+00:00,1.31,-5.4,150.4,-0.221,2.2935,-3.871,5.0635,388.2,4.5685,41811,1972-04-30 00:00:00+00:00,30
5,1972-04-30 01:00:00+00:00,-4.2,144.3,-1.3,6.6,0.3,7.2,393,10.7,57566,1972-05-01 07:00:00+00:00,1.31,-5.4,150.5,1.1926,3.0533,-3.4224,5.1527,395.2,3.7402,30879,1972-04-30 01:00:00+00:00,30
6,1972-04-30 02:00:00+00:00,-4.2,144.3,-0.1,6.3,0.9,7,396,12.1,49941,1972-05-01 08:00:00+00:00,1.31,-5.4,150.5,-0.2857,2.5123,-3.1702,4.3747,396.7,3.3655,38890,1972-04-30 02:00:00+00:00,30
7,1972-04-30 03:00:00+00:00,-4.2,144.3,-3.5,4.7,0.5,6.8,376,11.5,59398,1972-05-01 09:00:00+00:00,1.31,-5.4,150.6,1.3829,2.2086,-3.0479,4.0938,402.3,3.225,29073,1972-04-30 03:00:00+00:00,30
8,1972-04-30 04:00:00+00:00,-4.2,144.4,-0.6,5.9,0.9,6.7,389,11.8,55879,1972-05-01 10:00:00+00:00,1.31,-5.4,150.6,1.3987,1.2738,-2.6919,3.8196,402.8,3.9,38769,1972-04-30 04:00:00+00:00,30
9,1972-04-30 05:00:00+00:00,-4.2,144.4,-2,5.4,3.4,7.2,382,10.5,52352,1972-05-01 11:00:00+00:00,1.31,-5.4,150.6,1.0455,0.077,-3.0091,3.2088,398.1,4.2258,27405,1972-04-30 05:00:00+00:00,30
10,1972-04-30 06:00:00+00:00,-4.2,144.5,-4.9,0.9,4.2,6.8,371,9.3,50235,1972-05-01 12:00:00+00:00,1.31,-5.4,150.7,1.0057,0.4648,-2.8867,3.1045,395.1,4.1795,26880,1972-04-30 06:00:00+00:00,30
11,1972-04-30 07:00:00+00:00,-4.2,144.5,-6.2,-0.1,1.8,6.8,362,9.6,51162,1972-05-01 13:00:00+00:00,1.31,-5.4,150.7,0.4603,-0.0423,-2.082,2.2995,387.1,4.8347,32927,1972-04-30 07:00:00+00:00,30
12,1972-04-30 08:00:00+00:00,-4.2,144.5,-2.5,3.8,-4,6.4,377,8.3,46950,1972-05-01 14:00:00+00:00,1.31,-5.4,150.7,0.9717,1.0951,-1.4384,2.2226,385.6,5.0102,40013,1972-04-30 08:00:00+00:00,30
13,1972-04-30 09:00:00+00:00,-4.2,144.6,-2.6,3.7,-3.6,6.1,372,8.5,50031,1972-05-01 15:00:00+00:00,1.31,-5.4,150.7,0.752,1.8826,-1.079,2.3481,386,4.5913,31630,1972-04-30 09:00:00+00:00,30
14,1972-04-30 11:00:00+00:00,-4.2,144.7,1.3,2.6,-4.6,5.6,375,7.9,44549,1972-05-01 17:00:00+00:00,1.32,-5.4,150.8,0.8469,1.7005,-1.8496,2.6725,382.9,3.8454,21423,1972-04-30 11:00:00+00:00,30
15,1972-04-30 12:00:00+00:00,-4.2,144.7,-0.6,-0.1,-2.8,4.3,374,9.1,66503,1972-05-01 18:00:00+00:00,1.32,-5.4,150.8,0.5828,1.6217,-1.2782,2.2105,369.5,4.2058,28599,1972-04-30 12:00:00+00:00,30
16,1972-04-30 13:00:00+00:00,-4.2,144.8,1.3,2.8,-3.5,4.8,376,8.8,55322,1972-05-01 19:00:00+00:00,1.32,-5.4,150.9,0.5889,1.6384,-0.9107,2.1205,369.8,4.1105,23112,1972-04-30 13:00:00+00:00,30
17,1972-04-30 14:00:00+00:00,-4.2,144.8,1.3,2.3,-3.7,4.7,374,8.1,52407,1972-05-01 20:00:00+00:00,1.32,-5.4,150.9,1.1802,1.4445,-0.758,2.0306,376.5,4.64,25787,1972-04-30 14:00:00+00:00,30
