EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,PIONEER_DIST_Au,PIONEER_LAT_deg,PIONEER_LONG_deg,PIONEER_BR_nT,PIONEER_BT_nT,PIONEER_BN_nT,PIONEER_MAG_AVG_nT,PIONEER_SPEED_kms,PIONEER_DENSITY_Ncm3,PIONEER_TEMP_DegK
 1972-05-01T00:00:00.000Z,1.31,-5.5,150.3,-5.5916,4.2231,2.8432,8.0718,364.8,4.4697,113404
 1972-05-01T01:00:00.000Z,1.31,-5.5,150.3,-6.359,3.7593,1.4772,7.8449,354.9,4.9779,178382
 1972-05-01T02:00:00.000Z,1.31,-5.5,150.4,-5.6059,3.0628,1.5009,6.7212,358.8,4.9885,108277
 1972-05-01T03:00:00.000Z,1.31,-5.5,150.3,2.6176,-1.1548,-1.328,4.9206,386.5,4.9089,90870
 1972-05-01T04:00:00.000Z,1.31,-5.4,150.4,2.7513,-0.681,-2.6753,4.6453,393.3,7.9336,53685
 1972-05-01T05:00:00.000Z,1.31,-5.4,150.4,2.0234,-0.2409,-1.2238,3.8461,391.9,7.8847,94691
 1972-05-01T06:00:00.000Z,1.31,-5.4,150.4,-0.221,2.2935,-3.871,5.0635,388.2,4.5685,41811
 1972-05-01T07:00:00.000Z,1.31,-5.4,150.5,1.1926,3.0533,-3.4224,5.1527,395.2,3.7402,30879
 1972-05-01T08:00:00.000Z,1.31,-5.4,150.5,-0.2857,2.5123,-3.1702,4.3747,396.7,3.3655,38890
 1972-05-01T09:00:00.000Z,1.31,-5.4,150.6,1.3829,2.2086,-3.0479,4.0938,402.3,3.225,29073
 1972-05-01T10:00:00.000Z,1.31,-5.4,150.6,1.3987,1.2738,-2.6919,3.8196,402.8,3.9,38769
 1972-05-01T11:00:00.000Z,1.31,-5.4,150.6,1.0455,0.077,-3.0091,3.2088,398.1,4.2258,27405
 1972-05-01T12:00:00.000Z,1.31,-5.4,150.7,1.0057,0.4648,-2.8867,3.1045,395.1,4.1795,26880
