EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,PIONEER_DIST_Au,PIONEER_LAT_deg,PIONEER_LONG_deg,PIONEER_BR_nT,PIONEER_BT_nT,PIONEER_BN_nT,PIONEER_MAG_AVG_nT,PIONEER_SPEED_kms,PIONEER_DENSITY_Ncm3,PIONEER_TEMP_DegK
 1973-02-01T01:00:00.000Z,3.56,3.4,221.8,-0.6908,1.3425,-1.9173,2.4469,386,0.2988,15743
 1973-02-01T02:00:00.000Z,3.56,3.4,221.7,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,415.1,0.2761,18220
 1973-02-01T03:00:00.000Z,3.56,3.4,221.7,-0.5821,1.6941,-2.2534,2.9586,412.1,0.2299,38750
 1973-02-01T04:00:00.000Z,3.56,3.4,221.7,-1.5015,2.5717,0.2329,3.1064,413.7,0.3741,43558
 1973-02-01T05:00:00.000Z,3.56,3.4,221.7,-1.9656,2.4128,-0.641,3.1945,413.1,0.5241,42709
 1973-02-01T06:00:00.000Z,3.56,3.4,221.8,-1.9367,2.0592,-0.6533,2.96,432.9,0.6958,135312
 1973-02-01T07:00:00.000Z,3.56,3.4,221.8,-1.2682,1.1781,-1.992,2.8913,-1.00E+31,-1.00E+31,-1.00E+31
 1973-02-01T08:00:00.000Z,3.56,3.4,221.8,-2.075,1.597,0.0678,2.767,420.4,0.8382,28355
 1973-02-01T09:00:00.000Z,3.56,3.4,221.8,-2.384,0.9961,1.0021,2.8378,422.6,0.8085,21630
 1973-02-01T10:00:00.000Z,3.56,3.4,221.8,-1.5993,0.4161,2.2133,2.8401,440.1,0.6297,17684
 1973-02-01T11:00:00.000Z,3.56,3.4,221.8,-0.8187,-0.1781,2.6841,2.9526,-1.00E+31,-1.00E+31,-1.00E+31
 1973-02-01T12:00:00.000Z,3.56,3.4,221.8,-1.1539,-0.186,2.7382,3.0241,444.9,0.9942,24681
 1973-02-01T13:00:00.000Z,3.56,3.4,221.8,-1.673,0.2901,2.4364,3.0585,427.8,1.0694,22038
 1973-02-01T14:00:00.000Z,3.56,3.4,221.8,-0.165,-0.2014,2.4302,3.0222,455.7,0.9211,17680
 1973-02-01T15:00:00.000Z,3.56,3.4,221.8,-0.5513,-2.0647,1.7584,2.911,443.7,0.718,37194
 1973-02-01T16:00:00.000Z,3.56,3.4,221.8,-1.0732,-2.1219,0.9917,2.6431,446.5,0.7192,44422
 1973-02-01T17:00:00.000Z,3.56,3.4,221.8,-0.9819,-1.7321,1.2809,2.4268,446,0.5507,67818
 1973-02-01T18:00:00.000Z,3.56,3.4,221.8,-1.0783,-0.9257,2.0385,2.57,435.7,0.3452,47213
 1973-02-01T19:00:00.000Z,3.56,3.4,221.8,-1.3219,0.6372,1.6177,2.4156,449.4,0.5997,24865
 1973-02-01T20:00:00.000Z,3.56,3.4,221.8,-1.7978,0.7101,1.4234,2.4274,446.6,0.6607,29596
 1973-02-01T21:00:00.000Z,3.56,3.4,221.9,-1.2702,1.4855,1.4073,2.433,436,0.4275,14690
 1973-02-01T22:00:00.000Z,3.56,3.4,221.9,-1.0362,2.2082,0.2325,2.5248,434.8,0.3308,13421
 1973-02-01T23:00:00.000Z,3.56,3.4,221.9,-0.4929,-0.3132,0.9205,2.0887,452.4,0.6085,28240
 1973-02-02T00:00:00.000Z,3.56,3.4,221.8,-0.3633,-1.0549,1.6685,2.2271,440.5,0.5565,18015
 1973-02-02T01:00:00.000Z,3.56,3.4,221.8,-1.4798,0.4646,1.4114,2.1239,427.1,0.4211,17441
 1973-02-02T02:00:00.000Z,3.56,3.4,221.8,-1.5067,0.5562,1.4692,2.2052,427,0.5349,17441
 1973-02-02T03:00:00.000Z,3.56,3.4,221.8,-1.55,-0.0539,1.3717,2.1222,426.8,0.0352,17265
 1973-02-02T04:00:00.000Z,3.56,3.4,221.9,-1.9893,-0.0258,1.7987,2.6996,427.3,0.0672,17283
 1973-02-02T05:00:00.000Z,3.56,3.4,221.9,-2.0244,-0.3456,2.0003,2.8855,420.1,0.2737,13633
 1973-02-02T06:00:00.000Z,3.56,3.4,221.9,-1.917,-0.7242,1.7962,2.7655,420.3,0.3191,12834
 1973-02-02T07:00:00.000Z,3.56,3.4,221.9,-0.9952,0.1103,1.6372,1.9691,421.9,0.976,15282
 1973-02-02T08:00:00.000Z,3.56,3.4,221.9,-0.9349,-0.2405,2.087,2.3291,422.9,0.5632,17152
 1973-02-02T09:00:00.000Z,3.56,3.4,221.9,0.596,-0.6471,-0.1885,2.307,422,0.4744,24097
 1973-02-02T10:00:00.000Z,3.56,3.4,221.9,0.4777,-2.2441,0.0589,2.5871,-1.00E+31,-1.00E+31,-1.00E+31
 1973-02-02T11:00:00.000Z,3.57,3.4,221.8,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
 1973-02-02T12:00:00.000Z,3.57,3.4,221.9,0.1689,-2.2147,1.3048,2.5909,444.9,0.3993,58978
 1973-02-02T13:00:00.000Z,3.57,3.4,221.9,-0.0554,-2.4784,0.736,2.6021,447.2,0.3205,41114
 1973-02-02T14:00:00.000Z,3.57,3.4,221.9,0.1492,-2.4274,0.7501,2.5725,441.9,0.4365,62855
 1973-02-02T15:00:00.000Z,3.57,3.4,221.9,0.5609,-2.4354,0.3972,2.5896,433.7,0.3137,40382
 1973-02-02T16:00:00.000Z,3.57,3.4,221.9,0.0332,-2.5752,-0.0002,2.6237,441.4,0.4881,17556
 1973-02-02T17:00:00.000Z,3.57,3.4,221.9,0.2862,-2.2999,0.6462,2.4864,-1.00E+31,-1.00E+31,-1.00E+31
 1973-02-02T18:00:00.000Z,3.57,3.4,221.9,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
 1973-02-02T19:00:00.000Z,3.57,3.4,222,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
 1973-02-02T20:00:00.000Z,3.57,3.4,222,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
 1973-02-02T21:00:00.000Z,3.57,3.4,222,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
 1973-02-02T22:00:00.000Z,3.57,3.4,221.9,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,424.9,1.1954,29591
