EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,Dist2Sun_AU,HGI_LAT_deg,HGI_LONG_deg,SW_FLOW_SPEED_km_s,SW_PROTON_DENS_protons_cm3
 1973-01-01T00:00:00.000Z,3.35,2.9,218.4,323.4,0.8195
 1973-01-01T01:00:00.000Z,3.35,2.9,218.4,324.1,0.8556
 1973-01-01T02:00:00.000Z,3.35,2.9,218.4,318.5,1.0299
 1973-01-01T03:00:00.000Z,3.35,2.9,218.4,320.4,1.6006
 1973-01-01T04:00:00.000Z,3.35,2.9,218.4,-1.00E+31,-1.00E+31
 1973-01-01T05:00:00.000Z,3.35,2.9,218.5,323.9,1.5918
 1973-01-01T06:00:00.000Z,3.35,3,218.5,314.2,1.8752
 1973-01-01T07:00:00.000Z,3.35,3,218.5,313.8,1.9113
 1973-01-01T08:00:00.000Z,3.35,3,218.5,315.8,1.8182
 1973-01-01T09:00:00.000Z,3.36,3,218.5,314.7,1.4791
 1973-01-01T10:00:00.000Z,3.36,3,218.5,309.4,1.5793
 1973-01-01T11:00:00.000Z,3.36,3,218.4,-1.00E+31,-1.00E+31
 1973-01-01T12:00:00.000Z,3.36,3,218.4,307.3,1.1844
 1973-01-01T13:00:00.000Z,3.36,3,218.5,307.4,1.0257
 1973-01-01T14:00:00.000Z,3.36,3,218.5,307.4,0.9934
 1973-01-01T15:00:00.000Z,3.36,3,218.5,307.5,0.9991
 1973-01-01T16:00:00.000Z,3.36,3,218.5,308.3,1.0773
 1973-01-01T17:00:00.000Z,3.36,3,218.5,307.6,1.0714
 1973-01-01T18:00:00.000Z,3.36,3,218.5,-1.00E+31,-1.00E+31
 1973-01-01T19:00:00.000Z,3.36,3,218.5,-1.00E+31,-1.00E+31
 1973-01-01T20:00:00.000Z,3.36,3,218.6,321.1,1.501
 1973-01-01T21:00:00.000Z,3.36,3,218.6,320.5,1.2762
 1973-01-01T22:00:00.000Z,3.36,3,218.5,318.6,1.2492
 1973-01-01T23:00:00.000Z,3.36,3,218.5,319.4,1.4161
 1973-01-02T00:00:00.000Z,3.36,3,218.5,318.3,1.2458
 1973-01-02T01:00:00.000Z,3.36,3,218.5,310,1.6482
 1973-01-02T02:00:00.000Z,3.36,3,218.5,-1.00E+31,-1.00E+31
 1973-01-02T03:00:00.000Z,3.36,3,218.6,315.7,2.0407
 1973-01-02T04:00:00.000Z,3.36,3,218.6,319.8,1.5249
 1973-01-02T05:00:00.000Z,3.36,3,218.6,320.5,1.5454
 1973-01-02T06:00:00.000Z,3.36,3,218.6,319.5,1.665
 1973-01-02T07:00:00.000Z,3.36,3,218.6,323,1.2864
 1973-01-02T08:00:00.000Z,3.36,3,218.6,319.4,1.6135
 1973-01-02T09:00:00.000Z,3.36,3,218.5,317.4,1.5992
 1973-01-02T10:00:00.000Z,3.36,3,218.5,326.4,1.3072
 1973-01-02T11:00:00.000Z,3.36,3,218.6,325.8,0.9838
 1973-01-02T12:00:00.000Z,3.36,3,218.6,331.3,0.8612
 1973-01-02T13:00:00.000Z,3.36,3,218.6,321.3,1.4409
 1973-01-02T14:00:00.000Z,3.36,3,218.6,324.6,1.2041
 1973-01-02T15:00:00.000Z,3.36,3,218.6,325.3,1.2572
 1973-01-02T16:00:00.000Z,3.36,3,218.6,-1.00E+31,-1.00E+31
 1973-01-02T17:00:00.000Z,3.36,3,218.6,327.6,1.1002
 1973-01-02T18:00:00.000Z,3.36,3,218.7,328.7,1.0441
 1973-01-02T19:00:00.000Z,3.36,3,218.7,329.7,1.0819
 1973-01-02T20:00:00.000Z,3.37,3,218.7,329.1,0.9511
 1973-01-02T21:00:00.000Z,3.37,3,218.6,336.7,0.9242
 1973-01-02T22:00:00.000Z,3.37,3,218.6,329,1.4989
 1973-01-02T23:00:00.000Z,3.37,3,218.6,334.6,1.9069
 1973-01-03T00:00:00.000Z,3.37,3,218.6,330.3,1.441
 1973-01-03T01:00:00.000Z,3.37,3,218.7,335.2,1.5199
 1973-01-03T02:00:00.000Z,3.37,3,218.7,333,1.7926
 1973-01-03T03:00:00.000Z,3.37,3,218.7,335,1.8539
 1973-01-03T04:00:00.000Z,3.37,3,218.7,337.1,1.3711
 1973-01-03T05:00:00.000Z,3.37,3,218.7,-1.00E+31,-1.00E+31
 1973-01-03T06:00:00.000Z,3.37,3,218.7,337,1.5377
 1973-01-03T07:00:00.000Z,3.37,3,218.7,334.6,1.409
 1973-01-03T08:00:00.000Z,3.37,3,218.7,337.2,1.4272
 1973-01-03T09:00:00.000Z,3.37,3,218.7,335.5,0.7014
 1973-01-03T10:00:00.000Z,3.37,3,218.7,336,1.2659
 1973-01-03T11:00:00.000Z,3.37,3,218.7,339.3,1.4729
 1973-01-03T12:00:00.000Z,3.37,3,218.7,-1.00E+31,-1.00E+31
 1973-01-03T13:00:00.000Z,3.37,3,218.7,336.1,1.5701
 1973-01-03T14:00:00.000Z,3.37,3,218.7,-1.00E+31,-1.00E+31
 1973-01-03T15:00:00.000Z,3.37,3,218.7,336.1,0.7597
 1973-01-03T16:00:00.000Z,3.37,3,218.8,341.7,2.2649
 1973-01-03T17:00:00.000Z,3.37,3,218.8,-1.00E+31,-1.00E+31
 1973-01-03T18:00:00.000Z,3.37,3,218.8,-1.00E+31,-1.00E+31
 1973-01-03T19:00:00.000Z,3.37,3,218.7,-1.00E+31,-1.00E+31
 1973-01-03T20:00:00.000Z,3.37,3,218.7,-1.00E+31,-1.00E+31
 1973-01-03T21:00:00.000Z,3.37,3,218.7,-1.00E+31,-1.00E+31
 1973-01-03T22:00:00.000Z,3.37,3,218.7,-1.00E+31,-1.00E+31
 1973-01-03T23:00:00.000Z,3.37,3,218.8,-1.00E+31,-1.00E+31
 1973-01-04T00:00:00.000Z,3.37,3,218.8,-1.00E+31,-1.00E+31
 1973-01-04T01:00:00.000Z,3.37,3,218.8,341.8,0.4443
 1973-01-04T02:00:00.000Z,3.37,3,218.8,341.8,0.4306
 1973-01-04T03:00:00.000Z,3.37,3,218.8,340.3,0.2565
 1973-01-04T04:00:00.000Z,3.37,3,218.8,339.9,0.7772
 1973-01-04T05:00:00.000Z,3.37,3,218.8,349.5,0.4692
 1973-01-04T06:00:00.000Z,3.37,3,218.8,-1.00E+31,-1.00E+31
 1973-01-04T07:00:00.000Z,3.37,3,218.8,344.5,0.3236
 1973-01-04T08:00:00.000Z,3.38,3,218.8,342.6,0.1555
 1973-01-04T09:00:00.000Z,3.38,3,218.8,349.4,0.1889
 1973-01-04T10:00:00.000Z,3.38,3,218.8,349.4,0.2901
 1973-01-04T11:00:00.000Z,3.38,3,218.8,-1.00E+31,-1.00E+31
 1973-01-04T12:00:00.000Z,3.38,3,218.8,349.4,0.0986
 1973-01-04T13:00:00.000Z,3.38,3,218.8,349.8,0.1031
 1973-01-04T14:00:00.000Z,3.38,3,218.9,350.4,0.4423
 1973-01-04T15:00:00.000Z,3.38,3,218.9,354.4,0.468
 1973-01-04T16:00:00.000Z,3.38,3,218.9,355.2,0.4922
 1973-01-04T17:00:00.000Z,3.38,3,218.8,355.1,0.3247
 1973-01-04T18:00:00.000Z,3.38,3,218.8,-1.00E+31,-1.00E+31
 1973-01-04T19:00:00.000Z,3.38,3,218.8,-1.00E+31,-1.00E+31
 1973-01-04T20:00:00.000Z,3.38,3,218.8,-1.00E+31,-1.00E+31
 1973-01-04T21:00:00.000Z,3.38,3,218.9,-1.00E+31,-1.00E+31
