EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,HELIOGRAPHIC_LATITUDE_deg,HELIOGRAPHIC_LONGITUDE_deg,BR_(RTN)_nT,BT_(RTN)_nT,BN_(RTN)_nT,FIELD_MAGNITUDE_AVG._nT,BULK_FLOW_SPEED_km/s,ELEVATION_ANGLE_Deg,AZIMUTH_ANGLE_Deg,ION_DENSITY_N/cm3,TEMPERATURE_Deg_K
 2018-10-06T00:00:00.000Z,6.5,295.7,1.7,0.5,-2.6,3.3,366,0.9,-2.3,8.5,21400
 2018-10-06T01:00:00.000Z,6.5,295.7,0.6,0.2,-2.1,2.4,373,-0.1,-1.6,12,19325
 2018-10-06T02:00:00.000Z,6.5,295.8,0.9,1.5,0.1,2.2,369,-1.5,-1.7,12.5,14626
 2018-10-06T03:00:00.000Z,6.5,295.8,0.4,0.3,0.9,1.6,367,-1.9,-1.7,13.3,15408
 2018-10-06T04:00:00.000Z,6.5,295.9,-0.7,-1.2,-0.1,1.8,367,-2.2,-1.2,10.5,22965
 2018-10-06T05:00:00.000Z,6.5,295.9,-0.6,-0.7,1,1.8,367,-2.7,-1.3,11.1,21565
 2018-10-06T06:00:00.000Z,6.5,295.9,-0.8,-0.5,0.9,1.6,367,-2.3,-0.9,11.4,21773
 2018-10-06T07:00:00.000Z,6.5,296,0,-2.1,1,2.7,369,-1.9,-0.2,7.6,30807
 2018-10-06T08:00:00.000Z,6.5,296,0.7,0.5,-2,3.1,371,-1.6,-2.3,6,34201
 2018-10-06T09:00:00.000Z,6.5,296.1,1.1,0.4,1.8,3.1,370,-2.9,-1.3,6,34122
 2018-10-06T10:00:00.000Z,6.5,296.1,1.8,-0.9,1,2.8,366,-2.2,-0.7,5.5,33901
 2018-10-06T11:00:00.000Z,6.5,296.1,1,-1.2,2.3,2.9,369,-2.7,-0.7,5.6,29731
 2018-10-06T12:00:00.000Z,6.5,296.2,1.1,-2.4,1.2,3,367,-1.2,-0.6,5,35474
 2018-10-06T13:00:00.000Z,6.5,296.2,1.3,-2.1,1.4,3.2,364,-1.1,-0.5,5.3,34192
 2018-10-06T14:00:00.000Z,6.5,296.3,0.5,-1.7,1.7,2.7,365,-1,-0.4,5.6,28960
 2018-10-06T15:00:00.000Z,6.5,296.3,0.3,-2,1.9,2.9,364,-1.5,0,4.7,26492
 2018-10-06T16:00:00.000Z,6.5,296.3,-0.1,-0.7,1,1.9,358,-0.3,0.3,7,15949
 2018-10-06T17:00:00.000Z,6.5,296.4,-1.4,0.8,-0.4,1.9,354,0.2,1.2,8.3,13044
 2018-10-06T18:00:00.000Z,6.5,296.4,-0.6,1.3,-0.7,1.7,352,0.1,1.3,8.8,14471
 2018-10-06T19:00:00.000Z,6.5,296.5,-1.2,1.6,-0.1,2.3,351,-0.2,1.2,7.9,17150
 2018-10-06T20:00:00.000Z,6.5,296.5,-1.5,1.5,-0.2,2.4,352,-0.5,1.3,6.1,24900
 2018-10-06T21:00:00.000Z,6.5,296.6,-1.1,1.6,0.4,2.6,353,0,1.6,5.9,27134
 2018-10-06T22:00:00.000Z,6.5,296.6,-0.9,1.6,1.1,2.4,353,0.3,1.7,6,27082
 2018-10-06T23:00:00.000Z,6.5,296.6,-0.3,2,-1.3,2.6,357,-0.5,1.9,6.1,27642
 2018-10-07T00:00:00.000Z,6.5,296.7,-1.2,0.4,0.2,3.1,354,-0.1,1.5,6.1,30387
 2018-10-07T01:00:00.000Z,6.5,296.7,-1.2,-0.4,2.7,3.1,352,0.7,1.7,6.5,30230
 2018-10-07T02:00:00.000Z,6.5,296.8,-1.7,0.2,2.5,3.1,349,0.7,2.5,6.5,30983
 2018-10-07T03:00:00.000Z,6.5,296.8,-1.7,1.4,1.4,2.9,346,0.3,2.9,6.5,30992
 2018-10-07T04:00:00.000Z,6.5,296.8,-1.1,2.4,-0.3,2.8,352,-0.1,3.4,7.3,35109
 2018-10-07T05:00:00.000Z,6.5,296.9,-1.3,1.9,-1.2,3.4,355,-0.5,3.9,8.1,33883
 2018-10-07T06:00:00.000Z,6.5,296.9,-2.5,2.3,-1.1,3.7,354,-0.4,4.5,9.6,35799
 2018-10-07T07:00:00.000Z,6.5,297,-2.4,-0.8,-2.8,4.3,348,-1.3,4.5,12.5,42084
 2018-10-07T08:00:00.000Z,6.5,297,-4.6,2.6,0,5.9,356,-0.7,7.2,21.5,48422
 2018-10-07T09:00:00.000Z,6.5,297,-4.1,1.9,0.7,5.2,362,-1.8,7.5,31.8,44826
 2018-10-07T10:00:00.000Z,6.5,297.1,-2.4,2.3,-0.8,5.5,366,-2.5,8.4,46.3,34765
 2018-10-07T11:00:00.000Z,6.5,297.1,6,-6.6,0.2,11.5,376,-0.4,6.8,34.8,42819
 2018-10-07T12:00:00.000Z,6.5,297.2,9.6,-11,-2.1,15.5,391,1.1,6.2,20.1,65259
 2018-10-07T13:00:00.000Z,6.5,297.2,10,-10.7,4.7,16.6,409,1.2,3.1,16.2,94217
 2018-10-07T14:00:00.000Z,6.5,297.3,6.5,-7.5,4.6,14,452,3.3,-2.7,15.9,221971
 2018-10-07T15:00:00.000Z,6.4,297.3,5.1,-13.2,-2.2,15.1,503,4.9,-8,9.3,334407
 2018-10-07T16:00:00.000Z,6.4,297.3,2.8,-6.8,-0.5,10.7,496,6.2,-7.1,12.2,317311
 2018-10-07T17:00:00.000Z,6.4,297.4,9.1,-7.9,-2,12.7,516,1.3,-7,9.5,239192
 2018-10-07T18:00:00.000Z,6.4,297.4,8.5,-3.1,-1.8,9.7,547,-4.7,-4.4,9.9,324969
 2018-10-07T19:00:00.000Z,6.4,297.5,4.1,-6.5,-3.7,9,565,-2.2,-0.9,7.2,259426
 2018-10-07T20:00:00.000Z,6.4,297.5,2.9,-5.9,-0.8,7.8,565,-2.3,-1.7,6.8,246098
 2018-10-07T21:00:00.000Z,6.4,297.5,3.1,-4.4,1.5,6.8,562,-3.6,-2.1,6,235709
 2018-10-07T22:00:00.000Z,6.4,297.6,2.1,-4.4,1.8,7.2,566,-2.9,-1.9,5.8,213211
 2018-10-07T23:00:00.000Z,6.4,297.6,2.6,-4.9,1.1,7.1,561,-2.3,-1.1,5.5,204738
 2018-10-08T00:00:00.000Z,6.4,297.7,2.5,-2.3,-1.1,6.6,566,-0.1,-2.9,5.8,201158
 2018-10-08T01:00:00.000Z,6.4,297.7,4.6,0.9,0.9,6.7,546,-1.1,-4.8,6.2,208982
